"n_samplesize","n1","n2","case_id","sigma_sq_DE_G2","sigmaC_sq_DE_G2","method","p","alpha","FDR","TPR","FDP","n_failed"
40,40,40,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"hotelling",2,0.05,0.0291458722436983,0.1448,0.0291458722436983,0
40,40,40,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"hotelling",2,0.05,0.0234940814140024,0.4626,0.0234940814140024,0
40,40,40,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"sef",2,0.05,0.0668996255647738,0.7708,0.0668996255647738,0
40,40,40,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"sef",2,0.05,0.0653173348930204,0.9396,0.0653173348930204,0
40,40,40,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"hotelling",3,0.05,0.0185427905427905,0.0794,0.0185427905427905,0
40,40,40,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"hotelling",3,0.05,0.0226700302887854,0.339,0.0226700302887854,0
40,40,40,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"sef",3,0.05,0.0561728724914665,0.735,0.0561728724914665,0
40,40,40,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"sef",3,0.05,0.0553606031966896,0.9236,0.0553606031966896,0
40,40,40,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"hotelling",4,0.05,0.0234633838383838,0.0938,0.0234633838383838,0
40,40,40,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"hotelling",4,0.05,0.028746541638254,0.3864,0.028746541638254,0
40,40,40,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"sef",4,0.05,0.0312665233183359,0.611,0.0312665233183359,0
40,40,40,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"sef",4,0.05,0.0296665198705111,0.8694,0.0296665198705111,0
