"n_samplesize","n1","n2","case_id","sigma_sq_DE_G2","sigmaC_sq_DE_G2","method","p","alpha","FDR","TPR","FDP","n_failed"
75,75,75,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"hotelling",2,0.05,0.034070257792523,0.9024,0.034070257792523,0
75,75,75,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"hotelling",2,0.05,0.0347446723114632,0.9824,0.0347446723114632,0
75,75,75,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"sef",2,0.05,0.0503889089543838,0.9774,0.0503889089543838,0
75,75,75,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"sef",2,0.05,0.0504723468663535,0.9982,0.0504723468663535,0
75,75,75,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"hotelling",3,0.05,0.029318812837506,0.8382,0.029318812837506,0
75,75,75,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"hotelling",3,0.05,0.0301672611681301,0.9692,0.0301672611681301,0
75,75,75,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"sef",3,0.05,0.0384614431236933,0.9682,0.0384614431236933,0
75,75,75,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"sef",3,0.05,0.0381989282256129,0.997,0.0381989282256129,0
75,75,75,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"hotelling",4,0.05,0.0259746075641664,0.803,0.0259746075641664,0
75,75,75,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"hotelling",4,0.05,0.0286604331317771,0.9666,0.0286604331317771,0
75,75,75,"DE2_sigmasq_0p7_shared_sigmaC_0p8",0.7,0.8,"sef",4,0.05,0.0209176989271004,0.9432,0.0209176989271004,0
75,75,75,"DE2_sigmasq_0p9_shared_sigmaC_0p8",0.9,0.8,"sef",4,0.05,0.021332210598831,0.995,0.021332210598831,0
