"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",0,-1.44785749785106,0.165,0.314,0
"LY6E",0,-0.765116968276988,0.331,0.454,0
"MT-ND4L",0,0.535359568336995,0.456,0.333,0
"CD69",0,-0.509591953757523,0.445,0.564,0
"IFI6",0,-1.2224639829157,0.147,0.259,0
"CCR7",0,0.555250785126604,0.329,0.227,0
"KLF6",0,-0.711296793946187,0.277,0.375,0
"PIK3IP1",0,0.426224434595071,0.453,0.356,0
"GNLY",0,0.667403171523833,0.237,0.142,0
"IFITM1",0,0.230301965446184,0.4,0.306,0
"EIF4B",0,0.427902725071787,0.377,0.292,0
"FOXP1",0,0.382223544841054,0.415,0.33,0
"JUN",0,-0.553527663679596,0.427,0.51,0
"ATM",0,0.441259279048114,0.303,0.223,0
"PSME2",0,-0.448912942310212,0.298,0.373,0
"MIF",0,0.264432954893495,0.38,0.306,0
"EIF2S3",0,0.362049477731942,0.345,0.271,0
"IL32",0,-0.415909872133705,0.708,0.78,0
"EIF3L",0,0.287505440153546,0.438,0.369,0
"NOSIP",0,0.252857796778043,0.524,0.456,0
"CLIC1",0,-0.486026082675539,0.226,0.294,0
"RIPOR2",0,0.300370465392344,0.41,0.342,0
"AAK1",0,0.316257673510501,0.314,0.247,0
"CRIP1",0,0.265280283444573,0.316,0.249,0
"ST13",0,0.294616226895815,0.411,0.344,0
"ARRDC3",0,0.607761304949163,0.18,0.113,0
"TCF7",0,0.330279207427824,0.328,0.262,0
"HLA-DRA",0,0.310375388810268,0.286,0.22,0
"IFITM2",0,-0.355475847367885,0.416,0.48,0
"CIRBP",0,0.231297178373498,0.682,0.62,0
"S100A10",0,-0.347578703973435,0.476,0.537,0
"BCL11B",0,0.353789473826637,0.257,0.196,0
"EEF2",0,0.26521806678956,0.716,0.655,0
"SH3BGRL3",0,-0.332311423467127,0.64,0.701,0
"CAMK4",0,0.474452889567528,0.202,0.142,0
"EMP3",0,-0.315267596375579,0.475,0.534,0
"CYCS",0,-0.458506149600973,0.199,0.258,0
"HNRNPH1",0,0.281255297416481,0.319,0.26,0
"SRGN",0,-0.371605813795942,0.364,0.423,0
"HSP90AA1",0,-0.328533468899167,0.468,0.526,0
"IL6ST",0,0.594863759462389,0.158,0.1,0
"EIF3E",0,0.247078466575034,0.811,0.754,0
"MT2A",0,-0.595656670257761,0.224,0.28,0
"SELENOK",0,-0.304572471161557,0.225,0.281,0
"ZFP36",0,-0.587443671725821,0.224,0.28,0
"LBH",0,0.346495637967433,0.243,0.187,0
"PSMB9",0,-0.377825654712948,0.269,0.325,0
"MT-ND5",0,0.218377315863381,0.758,0.703,0
"ATF7IP2",0,0.420532688679688,0.236,0.181,0
"TIMP1",0,-0.53191775758937,0.156,0.211,0
"S100A4",0,-0.538423349930892,0.717,0.77,0
"NKG7",0,0.333194882419843,0.198,0.145,0
"LDHA",0,-0.368132864167495,0.237,0.29,0
"TXN",0,-0.430216567479853,0.182,0.235,0
"PLP2",0,-0.417200491425445,0.206,0.258,0
"ANXA1",0,-0.292183707688427,0.339,0.391,0
"S100A11",0,-0.438822970412205,0.249,0.3,0
"ALOX5AP",0,-0.54769243460762,0.136,0.186,0
"GSTK1",0,-0.256810229904581,0.417,0.465,0
"CYTH1",0,0.324005136927864,0.205,0.157,0
"FCMR",0,0.415023941266728,0.172,0.125,0
"IL2RG",0,-0.277274690778902,0.359,0.405,0
"DUSP1",0,-0.31738951266697,0.455,0.501,0
"DUSP2",0,-0.578250881810361,0.131,0.177,0
"TNFAIP3",0,-0.458835292508089,0.203,0.249,0
"PABPC1",0,0.21052868038907,0.813,0.767,0
"TXK",0,0.385459217884794,0.168,0.123,0
"ISG20",0,-0.2944588006756,0.371,0.416,0
"PSME1",0,-0.221226547553607,0.515,0.559,0
"VIM",0,-0.30740838729639,0.54,0.584,0
"CYBA",0,-0.213811965921072,0.601,0.644,0
"EEF1B2",0,0.238845832928074,0.876,0.834,0
"MYL12A",0,-0.27270047283892,0.776,0.818,0
"GAPDH",0,-0.257306488119715,0.574,0.615,0
"SAT1",0,-0.3128958000369,0.353,0.393,0
"TOMM7",0,0.303526792914361,0.884,0.844,0
"COX4I1",0,0.187305899775447,0.849,0.812,0
"MYL6",0,-0.204994727851482,0.68,0.717,0
"LGALS1",0,-0.518668138206918,0.249,0.285,0
"CXCR4",0,-0.328098394276347,0.643,0.678,0
"CALM1",0,-0.205891326495439,0.663,0.698,0
"NPM1",0,0.195362627438906,0.844,0.809,0
"HNRNPA1",0,0.188359586888108,0.847,0.813,0
"NFKBIA",0,-0.349766465429973,0.378,0.41,0
"UBB",0,-0.182717754189064,0.66,0.692,0
"S100A6",0,-0.259961498934882,0.755,0.786,0
"HLA-A",0,-0.361596577008301,0.872,0.9,0
"MT-CYB",0,0.217987688135868,0.951,0.924,0
"UBC",0,-0.198839745619183,0.671,0.697,0
"CFL1",0,-0.164285898732672,0.702,0.726,0
"MT-ATP6",0,0.184242590440069,0.962,0.942,0
"MT-ND3",0,0.383368036703504,0.967,0.947,0
"HLA-C",0,-0.270899842578342,0.863,0.882,0
