"","logFC","logCPM","F","PValue","bonferroni"
"ISG15",1.70148799899826,9.01499891188324,213.199797115637,5.04623352521645e-35,5.95960179328062e-32
"IFI6",1.51416583094884,8.564174387758,200.889997283417,1.40644634284745e-33,1.66101313090284e-30
"HSP90AA1",0.475741592874887,9.82721858003016,185.273522496192,1.09868348130442e-31,1.29754519142052e-28
"GNLY",-0.646714782095172,7.92841232824376,165.943907158551,3.0470013374581e-29,3.59850857953802e-26
"DYNLRB1",0.355643221545142,7.78548672246972,148.053775785364,7.10823550545038e-27,8.3948261319369e-24
"LY6E",0.896431434132291,9.492064855664,147.395030078858,8.7257406737846e-27,1.03050997357396e-23
"ODF2L",0.411884813974312,7.56849731825396,142.313013627565,4.31707572642759e-26,5.09846643291098e-23
"SP100",0.505939592690368,8.29849562056362,139.062071833526,1.21312005853615e-25,1.43269478913119e-22
"CHMP2A",0.381850413231324,7.3478408752487,137.572469950399,1.95517364772127e-25,2.30906007795882e-22
"LDHA",0.444972380709067,8.52818481054427,137.231929345912,2.17930588592987e-25,2.57376025128318e-22
"PSMA7",0.344922532313077,8.87730044016027,137.026474630957,2.32764125609534e-25,2.7489443234486e-22
"ARRDC3",-0.674611320623309,7.42898160553352,124.55782736975,1.367531889192e-23,1.61505516113575e-20
"TIMP1",0.61013118278752,8.05673116717595,121.075537718159,4.37191255443421e-23,5.1632287267868e-20
"SP110",0.390211350856111,8.04238640617433,116.141579191491,2.31599116731903e-22,2.73518556860377e-19
"GSTK1",0.334950201858786,9.52842038165231,114.699193472642,3.78634407494265e-22,4.47167235250727e-19
"FCMR",-0.421625495924242,7.39710162102663,112.670292428824,7.59457288548364e-22,8.96919057775618e-19
"COX5A",0.373848363271075,7.96478105368098,111.122665155207,1.29381800973185e-21,1.52799906949331e-18
"ARL4C",0.424299566459423,8.10980239827371,108.473005995917,3.24117491509236e-21,3.82782757472407e-18
"CAMK4",-0.437326437596413,7.67620808864928,105.131568746361,1.04290585150973e-20,1.231671810633e-17
"KLF6",0.860599867465063,9.34071780739696,104.379861168913,1.35802967838015e-20,1.60383305016696e-17
"FOXP1",-0.3867353884464,9.12020771086823,101.470723359519,3.80052882298251e-20,4.48842453994234e-17
"PSME2",0.494308045922661,9.00763955696831,100.194532432817,5.9859532113199e-20,7.0694107425688e-17
"SAT1",0.376347210076706,9.3027783888188,100.126818583625,6.13216979988959e-20,7.24209253366961e-17
"CCDC85B",0.298469336187078,7.91519653648919,99.5187366204219,7.62123414599748e-20,9.00067752642302e-17
"GAPDH",0.361203453874165,10.3025884747883,99.5029719229306,7.66208080600083e-20,9.04891743188698e-17
"HLA-A",0.463963210110675,12.0057156298701,95.8250701898019,2.87365452778131e-19,3.39378599730973e-16
"PSME1",0.28579086006229,9.95314713509858,94.5712285378548,4.52514315376165e-19,5.34419406459251e-16
"BST2",0.540080383282409,7.73295730841771,93.5691883080128,6.51506093272078e-19,7.69428696154324e-16
"PPIB",0.254403411376318,8.74835506041608,92.3837745157607,1.00351885493257e-18,1.18515576767536e-15
"YWHAB",0.195505960229219,9.07695218092486,91.5674171009657,1.35265100552544e-18,1.59748083752554e-15
"ARPC3",0.261166045875212,9.73693521985563,90.7382192343355,1.83328741196751e-18,2.16511243353363e-15
"ST13",-0.265149897490191,9.08136621944088,89.7407368639668,2.64580866996591e-18,3.12470003922973e-15
"EIF2S3",-0.35242814346995,8.6952786248138,89.5301209971044,2.85944596656605e-18,3.3770056865145e-15
"VIM",0.462007386356468,10.2870735044044,88.9148053228993,3.58782700701362e-18,4.23722369528309e-15
"CLIC1",0.517942582407541,8.63413992379392,87.7967792878279,5.42618172569824e-18,6.40832061804962e-15
"PRDX1",0.355859361990758,7.77765912721893,83.5760298781446,2.62096004889987e-17,3.09535381775074e-14
"IFITM2",0.391583742797495,9.61573625030627,82.8331698412759,3.46479215163515e-17,4.09191953108111e-14
"CYCS",0.520356761504274,8.33540507285522,82.1460739807383,4.48954744396101e-17,5.30215553131796e-14
"CIAO2B",0.383410761277908,7.52270406910846,81.9114625293877,4.90638332871273e-17,5.79443871120974e-14
"CAST",0.447016876245732,8.01683130042037,80.8367903091519,7.36630952212817e-17,8.69961154563337e-14
"PSMB8",0.317850210571334,8.20313559466751,79.8686968786513,1.06367183859643e-16,1.25619644138239e-13
"ATM",-0.387992218717211,8.39100941808037,78.756415942913,1.62468261812519e-16,1.91875017200585e-13
"CHMP3",-0.25945309867758,7.03264580746047,78.3995733332944,1.86266738195203e-16,2.19981017808534e-13
"CALM1",0.255074250715042,10.6235421522961,78.3010918620698,1.93295161713185e-16,2.28281585983272e-13
"CHMP5",0.446000695132123,6.81384188603792,78.1616642081117,2.04015934114979e-16,2.4094281818979e-13
"UBXN4",0.190129051436722,7.85230392417169,77.4684093906441,2.65877610239831e-16,3.1400145769324e-13
"CYTH1",-0.305251637699195,7.77527270020067,76.8561529387008,3.36263668133215e-16,3.97127392065327e-13
"DDX21",0.370901223836876,8.05635219629648,76.0931054958411,4.50844687818768e-16,5.32447576313965e-13
"ARID5B",0.46075647683871,8.32092506836085,75.4437506524831,5.78988668796448e-16,6.83785617848605e-13
"PSMC5",0.275222412685385,7.88832695087241,73.4792376505709,1.23844406207018e-15,1.46260243730488e-12
"NSD3",0.297683021461355,8.27594218858635,72.4033461988476,1.88186443592925e-15,2.22248189883244e-12
"LTB",0.376011143649771,12.1380071583323,72.1739964606038,2.05764969982801e-15,2.43008429549687e-12
"HLA-DRA",-0.353242162643324,8.37612813557374,72.1416004500914,2.08402592859943e-15,2.46123462167592e-12
"IFI16",0.374255186094632,8.22965345588259,71.2372266890083,2.96702684001382e-15,3.50405869805632e-12
"SH3BGRL3",0.370061842951243,10.7257403456714,71.0714850186593,3.16550846091144e-15,3.73846549233641e-12
"IL6ST",-0.541726863147276,7.25124411314034,70.0997858523725,4.63528509632494e-15,5.47427169875976e-12
"S100A10",0.379053729943365,10.0214630418054,69.025604484512,7.07039391524588e-15,8.35013521390539e-12
"MT2A",0.722949703728453,8.81258663044241,68.6013103722748,8.35883503975106e-15,9.871784181946e-12
"PLP2",0.47503591508083,8.37261448900333,68.5912781215982,8.39234855301257e-15,9.91136364110785e-12
"DRAP1",0.345366065471169,8.57458151644569,68.0537937037998,1.03777675497872e-14,1.22561434762987e-11
"PSMB9",0.409836101634427,8.7645641656326,67.8017283497391,1.14658653205198e-14,1.35411869435339e-11
"ZFP36",0.741201295651631,8.78991172226556,67.2465602921386,1.42867004444915e-14,1.68725932249444e-11
"CD53",0.315506476114971,8.67864717181298,66.4349760409508,1.97201851404359e-14,2.32895386508549e-11
"MTDH",0.181194703041854,8.39429651022742,66.1874614610627,2.17616158823625e-14,2.57004683570701e-11
"UBB",0.232437758408072,10.5126523392784,66.0943316278492,2.25817971079035e-14,2.6669102384434e-11
"CIB1",0.277292418809316,8.62584484361662,65.2751401681012,3.13066058016469e-14,3.6973101451745e-11
"CCR7",-0.552334192023453,8.57181357578002,65.1683543271951,3.26711680116899e-14,3.85846494218057e-11
"HADHA",-0.273960333900122,7.61472949876579,64.46216300101,4.33396682408002e-14,5.1184148192385e-11
"LGALS1",0.54747173645916,9.18157932877872,63.9264440409487,5.37092723291995e-14,6.34306506207846e-11
"MT-ND4L",-0.552197571495466,9.24065486364373,63.5162768280179,6.3323685955369e-14,7.47852731132907e-11
"IFITM3",0.610469085103356,7.32743973307388,63.3165950901851,6.86326780976824e-14,8.10551928333629e-11
"UFC1",0.190495997194468,8.37818476268556,63.2192389643423,7.13581945070771e-14,8.42740277128581e-11
"RAC2",0.307321083834494,8.95372993858393,63.0348276868855,7.68498738980879e-14,9.07597010736418e-11
"HLA-F",0.28810579649209,8.38374576386456,62.8072195116954,8.42286114309482e-14,9.94739900999498e-11
"SF3B5",0.218024246559036,8.53361273256318,61.4835195504417,1.43724132056058e-13,1.69738199958204e-10
"BCL11B",-0.367820535931216,8.17692003951795,60.3132578643523,2.31013694451809e-13,2.72827173147586e-10
"SEC11C",0.328311752024574,7.14770055938972,59.6921860202324,2.9747331801774e-13,3.51315988578951e-10
"TAGLN2",0.341487051436376,8.84542669179687,59.234746641826,3.58341956871286e-13,4.23201851064988e-10
"PLAAT4",0.209213426753614,9.02172886241398,59.1833130908791,3.65937007647113e-13,4.32171606031241e-10
"JUN",0.642858154496382,10.4613869484281,59.1675044718617,3.68298060491434e-13,4.34960009440384e-10
"NT5C3A",0.316677035330781,7.18385308372454,58.5442259891296,4.75213015762482e-13,5.61226571615491e-10
