"","gene","logFC","p_val","bonferroni","padj"
"1","ISG15",1.40439856803701,1.31571073996825e-23,1.45912321062479e-20,7.29561605312395e-21
"2","AURKAIP1",0.165494566759897,9.77303406909125e-07,0.00108382947826222,5.73454750403291e-06
"6","PARK7",0.166845582385383,1.75725233158542e-06,0.00194879283572823,9.46015939673897e-06
"7","ENO1",0.244028478268941,4.58681838073876e-09,5.08678158423929e-06,5.71548492611156e-08
"8","CAPZB",0.165229680450599,1.58270573320907e-08,1.75522065812886e-05,1.68771217127775e-07
"16","RSRP1",0.189702381515044,1.37943508323512e-05,0.0152979350730775,6.07060915598315e-05
"17","TMEM50A",0.22576385108805,4.62096262422254e-08,5.12464755026279e-05,3.9119446948571e-07
"19","SH3BGRL3",0.357710003731773,5.38592250315737e-10,5.97298805600152e-07,8.29581674444655e-09
"23","IFI6",1.39574374311598,2.73549176533713e-25,3.03366036775888e-22,3.03366036775888e-22
"27","PTP4A2",0.301313697481543,2.63912724082458e-07,0.000292679211007446,1.80666179634226e-06
"40","PRDX1",0.222459065961204,1.2514034098544e-08,1.38780638152853e-05,1.37406572428567e-07
"47","JUN",0.532544383822088,1.23541140334242e-05,0.0137007124630674,5.52448083188201e-05
"55","GNG5",0.21409349150733,4.86916473034622e-06,0.00539990368595396,2.38933791413892e-05
"59","LAMTOR5",0.182441905075607,4.73089023228659e-06,0.00524655726760583,2.33180323004704e-05
"60","CD53",0.30492205664344,2.06735687119215e-10,2.29269877015209e-07,3.58234182836264e-09
"63","RAP1A",0.113930968914661,1.29358543564469e-05,0.0143458624812996,5.73834499251983e-05
"66","CSDE1",-0.268226644802984,5.47309471555099e-13,6.06966203954605e-10,1.68601723320724e-11
"67","CD2",0.298156083317892,1.27574957071831e-07,0.00014148062739266,9.82504356893473e-07
"69","ANP32E",-0.171299241251726,1.26623327958376e-08,1.40425270705839e-05,1.37671834025332e-07
"74","CDC42SE1",-0.331256258704819,7.7563656873751e-06,0.00860180954729898,3.62945550518945e-05
"76","S100A10",0.26458487594112,5.30298593646822e-09,5.88101140354325e-06,6.39240369950354e-08
"77","S100A11",0.414256157134217,1.16831366771506e-07,0.000129565985749601,9.12436519363384e-07
"80","S100A6",0.208481492400132,4.35726597203758e-05,0.0483220796298968,0.000166627860792747
"87","KRTCAP2",-0.298177436211189,6.00815981327815e-06,0.00666304923292547,2.88443689737033e-05
"90","LAMTOR2",0.282057206845297,5.29296862212226e-08,5.86990220193359e-05,4.4134603022057e-07
"92","IFI16",0.371913360632904,3.18353844486618e-09,3.5305441353566e-06,4.10528387832162e-08
"93","TAGLN2",0.325159395840387,3.27172312613149e-11,3.62834094687983e-08,7.71987435506346e-10
"97","UFC1",0.170879715054514,2.46218940762034e-08,2.73056805305096e-05,2.29459500256383e-07
"103","MPC2",0.184561171561413,1.39467646329102e-06,0.00154669619778974,7.8512497349733e-06
"113","MDM4",-0.29063462645639,5.18303860776171e-10,5.74798981600773e-07,8.09576030423624e-09
"116","NENF",0.156821951913734,2.39547486356937e-05,0.0265658162369843,9.83919119888306e-05
"118","H3-3A",0.101423983472737,1.16889575011587e-05,0.012963053868785,5.29104239542247e-05
"120","GUK1",0.153066447851545,4.17397798228636e-06,0.00462894158235558,2.08510882088089e-05
"122","ARID4B",0.216790980876643,8.07027307178169e-09,8.94993283660589e-06,9.52120514532542e-08
"128","YWHAQ",0.254121954852572,6.24095811942187e-06,0.00692122255443885,2.97048178302097e-05
"132","HADHA",-0.236636775406271,9.53983882598533e-10,1.05796812580177e-06,1.37398457896334e-08
"147","AAK1",-0.306076852114977,8.91208377095176e-07,0.00098835009019855,5.37146788151386e-06
"155","TMSB10",0.15956062059772,1.26054582959225e-06,0.0013979453250178,7.20590373720517e-06
"161","CD8A",0.477129255972736,4.39672444562441e-19,4.87596741019747e-16,6.96566772885352e-17
"165","MGAT4A",-0.370778020037823,1.22408012932724e-05,0.0135750486342391,5.49597110697938e-05
"170","DBI",0.278762100141295,1.48717969536026e-07,0.000164928228215453,1.12964539873598e-06
"175","UBXN4",0.11923593528315,1.28633822100163e-06,0.00142654908709081,7.31563634405542e-06
"179","ARL5A",0.123892402149222,2.52714162547623e-05,0.0280260006265313,0.000102284673819457
"180","CYTIP",0.267099196606651,2.46218940762034e-08,2.73056805305096e-05,2.29459500256383e-07
"183","SSB",0.112460747840823,2.09426620703364e-05,0.023225412236003,8.7643065041521e-05
"195","CLK1",0.269793111526298,1.35305929527667e-06,0.00150054275846182,7.65583040031542e-06
"202","ARPC2",0.213570625920804,2.99489790701661e-08,3.32134177888142e-05,2.67850143458179e-07
"204","SP110",0.477139940804796,3.82362940966923e-21,4.24040501532317e-18,1.06010125383079e-18
"205","SP100",0.426928876586953,2.51491196267507e-15,2.78903736660665e-12,1.39451868330333e-13
"209","LRRFIP1",0.184299707862111,1.25837495353844e-05,0.0139553782347413,5.60456957218526e-05
