"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","bonferroni"
"ISG15",581.596228432081,1.69339167670369,0.108056441525192,15.6713626027459,2.37434041566892e-55,2.804096030905e-52,2.804096030905e-52
"AURKAIP1",221.903361271998,0.209714682750579,0.0304765470531661,6.88118251666547,5.9357740455313e-12,5.69930825022152e-11,7.01014914777247e-09
"PARK7",450.938133693042,0.168551432665758,0.0330352792440519,5.10216461076551,3.35790480565487e-07,1.4013023234906e-06,0.00039656855754784
"ENO1",568.655855559537,0.289979205578124,0.0382547485165197,7.58021466153152,3.44983689478076e-14,4.38092190616783e-13,4.07425737273608e-11
"CAPZB",536.638140991792,0.139239429218023,0.0252791924962027,5.50806475479542,3.62799960559781e-08,1.75601128451271e-07,4.28466753421101e-05
"RCAN3",353.289162073567,-0.221509841031595,0.0403101555604398,-5.49513734074952,3.90406459612742e-08,1.86668027855323e-07,4.61070028802649e-05
"RSRP1",398.289504826319,0.160967002844584,0.0355253533418052,4.53104579413605,5.86924129068666e-06,1.97480739723674e-05,0.00693157396430094
"TMEM50A",271.97936334174,0.307500383501291,0.0430040144578544,7.15050414194826,8.64597735246126e-13,9.36779748005206e-12,1.02108992532567e-09
"SH3BGRL3",1894.53567224236,0.362678452189035,0.0424691145743678,8.53981666026843,1.34434964116627e-17,3.11309201219091e-16,1.58767692621736e-14
"HMGN2",816.396491635322,-0.141307184819139,0.0284229568138558,-4.97158637451307,6.64072664363118e-07,2.63177790809678e-06,0.000784269816612842
"IFI6",426.163711593318,1.50801077081093,0.100635706471482,14.9848480592548,9.22362603133449e-51,5.44655117150301e-48,1.0893102343006e-47
"RBBP4",142.174646860903,-0.140133919682322,0.0287487692928799,-4.87443195410204,1.0912198939857e-06,4.18419056752307e-06,0.00128873069479711
"PRDX1",244.849672556245,0.348380331945905,0.0378142756939886,9.21293150674543,3.17337509017574e-20,9.86251574078302e-19,3.74775598149755e-17
"CMPK1",420.092000588127,-0.314897541480058,0.0648996287657993,-4.85206999590732,1.22179483207663e-06,4.62480672013621e-06,0.0014429396966825
