"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FKBP8",1.79072080893768e-07,0.0590157160590332,0.271,0.265,0.00363265623301097
"MICOS13",1.87711774934914e-07,0.0649046830004055,0.25,0.245,0.00380792106632967
"C19orf53",1.9189597564582e-07,-0.0091352262994111,0.385,0.394,0.00389280176195111
"U2AF1",2.03802730332949e-07,-0.0519003628842145,0.305,0.316,0.0041343421875342
"MPEG1",2.16839420838573e-07,-0.0561425026951514,0.406,0.415,0.00439880449113129
"GLIPR1",2.26943957053372e-07,-0.0403821211331301,0.442,0.453,0.00460378511278471
"SELENOT",2.37644408939916e-07,-0.0391295200440783,0.249,0.259,0.00482085447975513
"ALOX5AP",2.40046538566899e-07,-0.043885079289621,0.167,0.167,0.00486958408136811
"UBXN1",2.60592112613077e-07,-0.0399171127004647,0.343,0.354,0.00528637159646889
"CCT8",2.67181892067241e-07,-0.00194916029719816,0.211,0.216,0.00542005186247605
"ORMDL1",2.68420600963988e-07,0.0880359581071747,0.154,0.146,0.00544518031115547
"ATP5PB",2.68813620799404e-07,0.0211935108561205,0.337,0.341,0.0054531531115367
"RNF138",2.9986229185375e-07,0.102697494206823,0.1,0.093,0.00608300645254517
"MAF1",3.0379801451332e-07,0.0667349494803008,0.142,0.139,0.00616284652241721
"SLC25A36",3.24751974311521e-07,0.120559549944252,0.086,0.08,0.00658791855088352
"DARS1",3.62485535981412e-07,0.0829965511521602,0.092,0.086,0.00735338158291892
"NAA20",3.91156874283049e-07,0.0329161928761699,0.101,0.103,0.00793500835170593
"TLR2",3.91960858262587e-07,-0.0764236013710545,0.152,0.156,0.00795131797071484
"TRAPPC2L",4.13782780006226e-07,-0.0419557713132169,0.157,0.164,0.00839399747520631
"PTRHD1",4.15577304682665e-07,0.0692736776518902,0.202,0.197,0.00843040120279254
"C9orf78",4.27806663251214e-07,0.0723065118717824,0.19,0.181,0.00867848597071412
"CHCHD5",4.50735253605681e-07,0.0725584984603169,0.198,0.189,0.00914361535464485
"STX16",5.25468659604564e-07,0.105559293598068,0.09,0.084,0.0106596572287382
"RTF1",5.33470348796924e-07,0.0737066779493036,0.225,0.216,0.0108219794956944
"LPXN",5.42123067583406e-07,0.0834962161219844,0.09,0.084,0.010997508548997
"PDCD6",5.44691724134572e-07,0.0536714347734337,0.174,0.172,0.0110496163157939
"MPG",6.02000657751226e-07,-0.0163731548148142,0.113,0.117,0.0122121853431414
"ELOC",6.10391143335539e-07,-0.00997992247292084,0.199,0.205,0.0123823947337047
"RSU1",6.38788721113408e-07,-0.0732043887035151,0.096,0.102,0.0129584679965066
"NDUFS5",6.46751579393089e-07,-0.0236896540121005,0.474,0.485,0.0131200025395682
"CD46",6.7567629262255e-07,0.0531008964905614,0.188,0.18,0.0137067692721411
"CNN2",7.88157283757523e-07,0.0756001801004838,0.17,0.164,0.0159885586583051
"NACA",8.13570376811342e-07,-0.00550603430664243,0.897,0.891,0.0165040886639949
"KCTD12",8.62542505307904e-07,0.0265958885598914,0.343,0.333,0.0174975372626761
"SLC66A3",8.71011498727472e-07,0.10104866274309,0.132,0.126,0.0176693392631855
"SVBP",9.35764736944394e-07,0.0951062421613664,0.104,0.1,0.018982923453654
"UBE2I",9.99672624534094e-07,0.0511075315437598,0.238,0.235,0.0202793588612986
"MIEN1",1.01757139967851e-06,0.0681980424327822,0.158,0.155,0.0206424534138782
"EIF4A1",1.06120407700726e-06,0.029846302269307,0.726,0.716,0.0215275859061693
"TAPBP",1.06974437141973e-06,-0.0627106726558111,0.255,0.264,0.0217008343186206
"COMMD7",1.09480793508378e-06,-0.00439458712203172,0.111,0.114,0.0222092737711095
"OXA1L",1.14258318223956e-06,0.078684837181258,0.155,0.15,0.0231784424349118
"COPS2",1.21131288987833e-06,0.0944571635746789,0.11,0.104,0.0245726932840719
"CMTM7",1.21451233719104e-06,0.0379537222237354,0.172,0.172,0.0246375972722575
"RNPEP",1.23255483490792e-06,0.0633917281758369,0.117,0.115,0.025003607380942
"SMIM14",1.27084976582415e-06,-0.079598755194692,0.112,0.119,0.0257804583495088
"ETFA",1.31515488207636e-06,-0.0524961610495009,0.116,0.122,0.0266792319378011
"CDKN2D",1.32052869011286e-06,0.0234288688437924,0.243,0.245,0.0267882450076295
"CDA",1.33835257319709e-06,0.0479073477384488,0.267,0.266,0.0271498202998761
"MS4A7",1.50308631430143e-06,-0.0612811287960324,0.271,0.275,0.0304916089719188
"PUF60",1.51100965665088e-06,0.0186732670610941,0.106,0.108,0.0306523418948198
"CDC26",1.54314337185845e-06,-0.0465615876402822,0.087,0.092,0.0313042064415206
"PSMD6",1.70180587723105e-06,-0.00589642578791649,0.104,0.108,0.0345228340255091
"LPAR6",1.7101030367298e-06,0.0343001959538732,0.119,0.12,0.0346911502031006
"AP3S1",1.86417155022281e-06,0.0331147975242259,0.216,0.217,0.0378165840678198
"DUSP22",1.92318425032542e-06,0.102771670033962,0.11,0.105,0.0390137157021015
"PSMC1",2.05225390027443e-06,-0.00364724966582822,0.133,0.137,0.0416320226209671
"NOSIP",2.06892595809052e-06,0.0701185675376158,0.166,0.158,0.0419702319858242
"AUP1",2.08466248820529e-06,0.069033626071889,0.145,0.141,0.0422894632357324
"RNF166",2.10207275387316e-06,0.0491364389866583,0.158,0.156,0.042642647885071
"SEM1",2.20808959399553e-06,-0.0391018232622367,0.343,0.353,0.0447933055037934
"SARAF",2.38015147378154e-06,0.0444278953175625,0.477,0.467,0.0482837527971323
"CD37",2.39540726506314e-06,-0.0298490148954489,0.599,0.601,0.0485932317790708
