"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",0.15,13.935960591133,3.03268555154174e-10,2.38432641418388e-10,"CYCS/COX5A/COX4I1/MT-ND3/UQCRB/MT-CO2/MT-ND4L/CHCHD2/MT-CO3/MT-ND4/MT-CYB/COX7C/COX6A1/COX7B/NDUFB1",15
"GO:0016032","GO:0016032","viral process",0.0580808080808081,5.39607901676867,2.290545724295e-08,1.80084897709098e-08,"ISG15/IFITM2/EIF3L/BST2/SP100/ISG20/IL32/JUN/CHMP2A/MGAT4A/ZFP36/PABPC1/CHMP3/VAMP8/PCBP2/CXCR4/ZC3HAV1/CSDE1/LGALS1/PPIA/IFI16/IFITM3/OAZ1",23
"GO:0048525","GO:0048525","negative regulation of viral process",0.144736842105263,13.4469795177599,1.58834973471163e-07,1.24877576757327e-07,"ISG15/IFITM2/BST2/SP100/ISG20/IL32/ZFP36/ZC3HAV1/PPIA/IFI16/IFITM3",11
"GO:0046631","GO:0046631","alpha-beta T cell activation",0.0631067961165049,5.86302549141518,6.06782197337206e-05,4.77057972605217e-05,"FOXP1/HLA-A/CD69/IL6ST/BCL11B/IL2RG/LEF1/NKG7/HLA-DRA/LGALS1/NDFIP1/CD3D/ANXA1",13
"GO:0044092","GO:0044092","negative regulation of molecular function",0.0501567398119122,4.65988232932347,6.06782197337206e-05,4.77057972605217e-05,"TIMP1/GAPDH/CALM1/CARD16/NPM1/JUN/ZFP36/NOSIP/LEF1/PRMT2/PPIA/NDFIP1/IFI16/DUSP1/COMMD6/RIPOR2",16
"GO:1902600","GO:1902600","proton transmembrane transport",0.0625,5.80665024630542,0.000160794080995115,0.000126417845848268,"COX5A/COX4I1/MT-ND3/MT-CO2/MT-ND4L/ATP6V0E1/MT-CO3/MT-ND4/MT-CYB/MT-ATP6/COX7B/NDUFB1",12
"GO:0030098","GO:0030098","lymphocyte differentiation",0.0408163265306122,3.79209812003619,0.000184518665675385,0.000145070341452356,"FOXP1/CD69/KLF6/IL6ST/ATM/B2M/BCL11B/CCR7/IL2RG/CAMK4/IKZF1/TCF7/LEF1/HLA-DRA/LGALS1/NDFIP1/CD3D/ANXA1",18
"GO:0006413","GO:0006413","translational initiation",0.0679012345679012,6.30845952685033,0.000184518665675385,0.000145070341452356,"EIF3E/EIF3L/EIF2S3/NPM1/PPP1R15A/EIF4B/EIF2A/CSDE1/EIF3M/EIF1/METAP2",11
"GO:0009615","GO:0009615","response to virus",0.0404494382022472,3.75801184479991,0.000195242913761521,0.000153501847966784,"ISG15/IFI6/HSP90AA1/IFITM2/BST2/ENO1/ISG20/CFL1/CHMP3/VAMP8/PCBP2/CXCR4/ZC3HAV1/IFI16/SELENOK/IFITM3/DDIT4/SAMHD1",18
"GO:0002697","GO:0002697","regulation of immune effector process",0.0403800475059382,3.75156500473889,0.000364052943998805,0.000286221909850323,"HLA-A/CD69/B2M/BST2/RAC2/IL2RG/TMBIM6/VAMP8/HLA-C/HLA-F/HLA-DRA/NCF1/LGALS1/MIF/TYROBP/NDFIP1/ANXA1",17
