"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0031647","GO:0031647","regulation of protein stability",0.0420792079207921,2.24819790760946,0.0185457629425166,0.0142372928861587,"ID1/MDM4/PYCARD/GRN/TREX1/NPM1/CMTM6/GAPDH/CTSA/CRTAP/CHP1/TOMM7/ATM/STK4/NOP53/PPIB/TYROBP",17
"GO:0006403","GO:0006403","RNA localization",0.0528846153846154,2.82550664632818,0.0211186702971606,0.0162124737234506,"HNRNPA1/SSB/ZFP36L1/G3BP2/HNRNPA2B1/FXR1/ATM/FBL/YBX1/PABPN1/HNRNPU",11
"GO:0071826","GO:0071826","protein-RNA complex organization",0.05,2.671388101983,0.0214074767297307,0.0164341859161844,"EIF4B/SRSF6/EIF2S3/EIF3L/ATM/NOP53/SNRPD2/EIF3J/MCTS1/EIF3E/CELF1/EIF3M",12
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity",0.0857142857142857,4.57952246054229,0.0214101953180386,0.0164362729340169,"HLA-C/B2M/HLA-A/HLA-E/HLA-F/TYROBP",6
"GO:0010506","GO:0010506","regulation of autophagy",0.0424403183023873,2.26749122714738,0.0224943046200682,0.0172685267324422,"EEF1A1/TRIM22/PYCARD/RAB8A/RBX1/HMGB1/ATP6V0E1/IFI16/TMEM59/GAPDH/CTSA/EIF4G2/TOMM7/ATM/IL10RA/HIF1A",16
"GO:0072583","GO:0072583","clathrin-dependent endocytosis",0.102040816326531,5.45181245302654,0.0230353771986792,0.0176838997099913,"CLTC/CLTA/PICALM/CANX/GAS7",5
"GO:0070555","GO:0070555","response to interleukin-1",0.0650406504065041,3.47497639282342,0.0234564012135807,0.0180071132780089,"LGALS9/PYCARD/CYBA/NFKBIA/CASP1/TLE5/TANK/HIF1A",8
"GO:0043524","GO:0043524","negative regulation of neuron apoptotic process",0.0552486187845304,2.95181005743978,0.0234961304619235,0.018037612802162,"MEF2C/GRN/SET/CORO1A/NONO/CPEB4/RHOA/SOD2/BTG2/HIF1A",10
"GO:0046685","GO:0046685","response to arsenic-containing substance",0.133333333333333,7.12370160528801,0.0236260745723263,0.0181373688685137,"HNRNPA1/DDX3X/GSTO1/SLC38A2",4
"GO:0034612","GO:0034612","response to tumor necrosis factor",0.0491803278688525,2.62759485440951,0.0236260745723263,0.0181373688685137,"TNFSF13B/ZFP36L1/FOXP1/BIRC2/STAT1/PYCARD/CYBA/NFKBIA/CASP1/TANK/FOS/CARD16",12
"GO:0032102","GO:0032102","negative regulation of response to external stimulus",0.0398230088495575,2.12765424051744,0.0237782275817951,0.0182541743602065,"ISG15/ANXA2/MIF/HLA-A/PCBP2/LGALS9/GRN/NMI/TREX1/IFI16/STAT2/HLA-E/FXR1/HLA-F/IL10RA/AIF1/ASH1L/CARD16",18
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process",0.0721649484536082,3.85561169358372,0.023987989296415,0.018415205156114,"MIF/FCER1G/FOXP1/LGALS9/MEF2C/LGALS3/HIF1A",7
"GO:0046636","GO:0046636","negative regulation of alpha-beta T cell activation",0.1,5.34277620396601,0.0244751364581441,0.0187891804323911,"LGALS9/HMGB1/LGALS3/VSIR/LGALS1",5
"GO:0031348","GO:0031348","negative regulation of defense response",0.0447284345047923,2.38974015512856,0.0247775618595438,0.0190213476950315,"ISG15/HLA-A/PCBP2/LGALS9/GRN/NMI/TREX1/IFI16/STAT2/HLA-E/FXR1/HLA-F/IL10RA/ASH1L",14
"GO:0031343","GO:0031343","positive regulation of cell killing",0.0821917808219178,4.39132290736932,0.0247775618595438,0.0190213476950315,"HLA-C/B2M/HLA-A/HLA-E/HLA-F/TYROBP",6
"GO:0051259","GO:0051259","protein complex oligomerization",0.0460992907801418,2.46298193799851,0.0265465072572858,0.0203793394802893,"ISG15/MIF/B2M/KRT10/PYCARD/G3BP2/CHMP2A/STK4/EVL/USP16/SOD2/FUS/ALDOA",13
"GO:0001824","GO:0001824","blastocyst development",0.0625,3.33923512747875,0.0280392820344698,0.0215253193885688,"GRN/WDR74/SBDS/BNIP2/TBL1XR1/CNOT1/JUNB/SP3",8
"GO:0002532","GO:0002532","production of molecular mediator involved in inflammatory response",0.0625,3.33923512747875,0.0280392820344698,0.0215253193885688,"S100A9/FCER1G/CLEC7A/PYCARD/GRN/NFKBIA/PDCD4/HIF1A",8
"GO:0090322","GO:0090322","regulation of superoxide metabolic process",0.125,6.67847025495751,0.0280392820344698,0.0215253193885688,"CLEC7A/CYBA/BST1/TYROBP",4
"GO:0097720","GO:0097720","calcineurin-mediated signaling",0.0909090909090909,4.85706927633273,0.0339509719054119,0.0260636314766515,"CLEC7A/CALM1/PPP3CA/CHP1/CALM3",5
"GO:0002327","GO:0002327","immature B cell differentiation",0.176470588235294,9.42842859523413,0.0339509719054119,0.0260636314766515,"TNFSF13B/ATM/IRF2BP2",3
"GO:0140238","GO:0140238","presynaptic endocytosis",0.075,4.0070821529745,0.0357456867868194,0.0274414060925002,"ARPC3/CALM1/CLTA/VAMP2/CALM3/CANX",6
"GO:0072659","GO:0072659","protein localization to plasma membrane",0.0440677966101695,2.35444375090027,0.0357456867868194,0.0274414060925002,"FCER1G/S100A10/SORL1/RAB8A/TMEM59/LGALS3/CLTC/VAMP5/LRP1/RACK1/RHOG/VAMP2/PICALM",13
"GO:2000772","GO:2000772","regulation of cellular senescence",0.0892857142857143,4.77033589639822,0.0357456867868194,0.0274414060925002,"MIF/B2M/YPEL3/YBX1/RSL1D1",5
"GO:0009612","GO:0009612","response to mechanical stimulus",0.0482456140350877,2.57765518612395,0.0357627540597662,0.027454508371682,"STAT1/SLC38A2/CYBA/NFKBIA/MAP3K1/JUND/RETN/CASP1/FOS/BTG2/MAP3K2",11
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.0398009950248756,2.12647809113075,0.0358022614654988,0.0274848375907241,"TNFSF13B/HLA-C/B2M/FCER1G/HLA-A/CLEC7A/LGALS9/MEF2C/TREX1/HMGB1/LGALS1/FCGR1A/HLA-E/HLA-F/JUNB/CD4",16
"GO:0045926","GO:0045926","negative regulation of growth",0.0480349344978166,2.56639904994,0.0366141245941685,0.0281080922490615,"MT2A/BST2/PLAC8/FOXP1/DDX3X/RACK1/ARHGAP4/STK4/ENO1/RGS2/HIF1A",11
"GO:0007565","GO:0007565","female pregnancy",0.050761421319797,2.71206913906904,0.0368523390380322,0.0282909657613302,"LGALS9/TIMP1/SLC38A2/GRN/JUNB/H3-3B/SP3/ASH1L/FOS/RGS2",10
"GO:0060538","GO:0060538","skeletal muscle organ development",0.050761421319797,2.71206913906904,0.0368523390380322,0.0282909657613302,"EEF2/MEF2C/PPP3CA/VAMP5/DDX5/FXR1/RHOA/FOS/BTG2/DDX17",10
"GO:0043299","GO:0043299","leukocyte degranulation",0.0740740740740741,3.95761200293778,0.0370083618413206,0.0284107420333672,"FCER1G/LGALS9/CORO1A/HLA-F/VAMP2/NKG7",6
"GO:0031638","GO:0031638","zymogen activation",0.087719298245614,4.68664579295264,0.0376221781458732,0.0288819592344768,"ANXA2/S100A10/VSIR/FCN1/ENO1",5
"GO:0010755","GO:0010755","regulation of plasminogen activation",0.166666666666667,8.90462700661001,0.0378283648383928,0.0290402455416904,"ANXA2/S100A10/ENO1",3
"GO:0072673","GO:0072673","lamellipodium morphogenesis",0.166666666666667,8.90462700661001,0.0378283648383928,0.0290402455416904,"CD44/SNX2/WASF2",3
"GO:0016197","GO:0016197","endosomal transport",0.0433333333333333,2.3152030217186,0.0386509402814447,0.0296717238766606,"CHMP5/SORL1/RAB8A/CMTM6/CLTC/CORO1A/SNX2/BLOC1S1/CHMP2A/EVI5/PICALM/VPS29/RCSD1",13
"GO:0035914","GO:0035914","skeletal muscle cell differentiation",0.072289156626506,3.86224785828868,0.0400604622469508,0.0307537919002078,"EEF2/MEF2C/DDX5/FOS/BTG2/DDX17",6
"GO:0051851","GO:0051851","host-mediated perturbation of symbiont process",0.0636363636363636,3.39994849343291,0.0400604622469508,0.0307537919002078,"IFITM3/LY6E/EEF1A1/IFITM2/FCN1/PPIB/NUCKS1",7
"GO:0001836","GO:0001836","release of cytochrome c from mitochondria",0.0847457627118644,4.52777644403899,0.0411168885074044,0.0315647938594869,"IFI6/TNFSF10/PYCARD/SOD2/PMAIP1",5
"GO:0032507","GO:0032507","maintenance of protein location in cell",0.0847457627118644,4.52777644403899,0.0411168885074044,0.0315647938594869,"SORL1/TXN/SP100/CD4/HNRNPU",5
"GO:0046677","GO:0046677","response to antibiotic",0.108108108108108,5.77597427455784,0.0411168885074044,0.0315647938594869,"ID1/MEF2C/CRIP1/RSRC1",4
"GO:0014823","GO:0014823","response to activity",0.0714285714285714,3.81626871711858,0.0412081858633759,0.0316348814153738,"ANXA2/SLC38A2/CYBA/FOS/SOD2/HIF1A",6
"GO:0055093","GO:0055093","response to hyperoxia",0.157894736842105,8.43596242731475,0.0415963792869863,0.0319328914506337,"MT-ATP6/MT-CYB/SOD2",3
"GO:0060263","GO:0060263","regulation of respiratory burst",0.157894736842105,8.43596242731475,0.0415963792869863,0.0319328914506337,"S100A9/CLEC7A/GRN",3
"GO:1900424","GO:1900424","regulation of defense response to bacterium",0.157894736842105,8.43596242731475,0.0415963792869863,0.0319328914506337,"FOXP1/GRN/CYBA",3
"GO:1902165","GO:1902165","regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",0.157894736842105,8.43596242731475,0.0415963792869863,0.0319328914506337,"MIF/CD44/HNRNPK",3
"GO:0002443","GO:0002443","leukocyte mediated immunity",0.0368852459016393,1.97069614080713,0.0416590057475072,0.031980968807366,"BST2/HLA-C/B2M/FCER1G/HLA-A/CLEC7A/LGALS9/TREX1/HMGB1/FCGR1A/CORO1A/KMT2E/PRDX1/HLA-E/HLA-F/VAMP2/NKG7/TYROBP",18
"GO:0042255","GO:0042255","ribosome assembly",0.0833333333333333,4.452313503305,0.0426937783054884,0.0327753475570676,"DDX3X/NPM1/SBDS/NOP53/EIF1AX",5
"GO:0034063","GO:0034063","stress granule assembly",0.105263157894737,5.62397495154316,0.0436394924207702,0.0335013575296729,"CIRBP/DDX3X/CSDE1/G3BP2",4
"GO:0051602","GO:0051602","response to electrical stimulus",0.105263157894737,5.62397495154316,0.0436394924207702,0.0335013575296729,"MT-CO1/HNRNPD/SOD2/BTG2",4
"GO:0001913","GO:0001913","T cell mediated cytotoxicity",0.0819672131147541,4.37932475734918,0.0451494478278503,0.0346605267394957,"HLA-C/B2M/HLA-A/HLA-E/HLA-F",5
"GO:0001829","GO:0001829","trophectodermal cell differentiation",0.15,8.01416430594901,0.0463926398230634,0.0356149058396943,"CNOT1/JUNB/SP3",3
"GO:0006089","GO:0006089","lactate metabolic process",0.15,8.01416430594901,0.0463926398230634,0.0356149058396943,"LDHA/LDHB/HIF1A",3
"GO:0032930","GO:0032930","positive regulation of superoxide anion generation",0.15,8.01416430594901,0.0463926398230634,0.0356149058396943,"CLEC7A/CYBA/TYROBP",3
"GO:0045730","GO:0045730","respiratory burst",0.1,5.34277620396601,0.049865794030594,0.0382811921415669,"S100A9/CLEC7A/GRN/CYBA",4
