"","ID","Description","RichFactor","FoldEnrichment","p.adjust","qvalue","geneID","Count"
"GO:0097581","GO:0097581","lamellipodium organization",0.0967741935483871,6.08387096774193,0.000895312411985815,0.000728345518915359,"HSP90AA1/CFL1/RAC2/ARPC2/CD44/PHPT1/BRK1/ITGB1/CAPZB",9
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly",0.045662100456621,2.87062404870624,0.00123490577853645,0.00100460808767829,"TMSB4X/ISG15/ARPC3/ATM/HSP90AA1/SORL1/SVIP/CFL1/ARPC2/RHOA/CORO1A/BAX/RICTOR/DDX3X/PARK7/BRK1/PFN1/BIRC2/CSNK1A1/CAPZB",20
"GO:0032212","GO:0032212","positive regulation of telomere maintenance via telomerase",0.217391304347826,13.6666666666667,0.00123490577853645,0.00100460808767829,"HNRNPA1/ATM/HSP90AA1/HNRNPD/PTGES3",5
"GO:0071385","GO:0071385","cellular response to glucocorticoid stimulus",0.125,7.85833333333333,0.00129361646242596,0.00105236981079406,"MT-ND3/GSTP1/CBX3/ZFP36L1/UBE2L3/ANXA1/HNRNPU",7
"GO:0046034","GO:0046034","ATP metabolic process",0.0580912863070539,3.65200553250346,0.00146995815496727,0.00119582552506874,"TMSB4X/MT-ND3/GAPDH/MT-ND4L/MT-ND4/MT-ATP6/MT-ND5/NDUFB1/LDHA/MT-ND2/NDUFA12/ENO1/ATP5ME/ATP5MJ",14
"GO:0046651","GO:0046651","lymphocyte proliferation",0.0512820512820513,3.22393162393162,0.00177334288888019,0.00144263201238493,"MIF/HLA-A/ATM/IL7R/LST1/TYROBP/HLA-DPB1/RAC2/HLA-DPA1/HLA-DRB1/CORO1A/BAX/ZNHIT1/RIPOR2/NDFIP1/ANXA1",16
"GO:0002697","GO:0002697","regulation of immune effector process",0.0451306413301663,2.83721298495645,0.00195143717308922,0.00158751347734796,"MIF/HLA-A/B2M/IL7R/LGALS1/TYROBP/CD69/RAC2/ITGB2/HLA-C/HLA-DRB1/BST2/TMBIM6/CD96/VAMP8/IL2RG/NDFIP1/HLA-F/ANXA1",19
"GO:0001913","GO:0001913","T cell mediated cytotoxicity",0.114754098360656,7.21420765027322,0.00196591660424267,0.00159929263806982,"HLA-A/B2M/IL7R/HLA-C/GZMM/HLA-DRB1/HLA-F",7
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation",0.0551181102362205,3.46509186351706,0.00224050204556367,0.00182267061548662,"MIF/HLA-A/ATM/LST1/TYROBP/HLA-DPB1/RAC2/HLA-DPA1/HLA-DRB1/CORO1A/ZNHIT1/RIPOR2/NDFIP1/ANXA1",14
"GO:0070228","GO:0070228","regulation of lymphocyte apoptotic process",0.111111111111111,6.98518518518519,0.00228805426110986,0.00186135481403441,"MIF/IL7R/FOXP1/BCL11B/TSC22D3/BAX/CD3G",7
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion",0.0519031141868512,3.26297577854671,0.00235988649722579,0.00191979104990952,"HLA-A/B2M/IL7R/LGALS1/HLA-DPB1/HLA-DPA1/ITGB2/RHOA/HLA-DRB1/CORO1A/CD44/ETS1/IL2RG/SMARCE1/ANXA1",15
"GO:0010592","GO:0010592","positive regulation of lamellipodium assembly",0.178571428571429,11.2261904761905,0.00250833789880352,0.00204055773611687,"HSP90AA1/CFL1/RAC2/ARPC2/BRK1",5
"GO:0050863","GO:0050863","regulation of T cell activation",0.0445544554455446,2.8009900990099,0.00292283580154996,0.00237775588731369,"HLA-A/B2M/IL7R/LGALS1/CD69/HLA-DPB1/RAC2/HLA-DPA1/TCF7/RHOA/HLA-DRB1/CORO1A/ZNHIT1/RIPOR2/IL2RG/NDFIP1/SMARCE1/ANXA1",18
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway",0.0782608695652174,4.92,0.00298185553891548,0.00242576902849465,"MIF/NONO/PPIA/CD44/TPT1/ENO1/TMBIM6/DDX3X/PARK7",9
"GO:0071364","GO:0071364","cellular response to epidermal growth factor stimulus",0.127659574468085,8.02553191489362,0.00303000605018347,0.00246493994654072,"CFL1/EEF1A1/FOS/GSTP1/ZFP36L1/NCL",6
"GO:0009615","GO:0009615","response to virus",0.0426966292134831,2.68419475655431,0.003047344146732,0.00247904465988836,"IFI6/ISG15/IFITM2/HSP90AA1/CFL1/ZC3HAV1/PCBP2/BST2/BAX/CXCR4/TPT1/ENO1/IFITM1/DDX3X/VAMP8/CNOT7/ISG20/TNFAIP3/DDX17",19
