"","p_value","bonferroni_pval"
"PDCD5",3.60212379700739e-07,0.000425771032806273
"SEM1",3.64246591822341e-07,0.000430539471534008
"TPI1",3.88335602696682e-07,0.000459012682387478
"TYMP",4.25058752438124e-07,0.000502419445381863
"COX6A1",4.54467958771729e-07,0.000537181127268183
"HSPE1",4.57035968418412e-07,0.000540216514670563
"PARK7",5.08358976948787e-07,0.000600880310753467
"GYPC",5.23984242930946e-07,0.000619349375144378
"TYROBP",6.01723921392499e-07,0.000711237675085933
"ATP5F1C",6.47150068597789e-07,0.000764931381082586
"PPIA",6.78108457234977e-07,0.000801524196451743
"NDUFA6",7.49289689526508e-07,0.000885660413020333
"ARF1",7.70688495298073e-07,0.000910953801442322
"LAMTOR5",8.29310752461374e-07,0.000980245309409344
"SAMHD1",9.36111270752986e-07,0.00110648352203003
"BIRC2",1.01817721397774e-06,0.00120348546692169
"SRP19",1.02216999598215e-06,0.0012082049352509
"COX7C",1.03678589054243e-06,0.00122548092262116
"BTG1",1.14505310363636e-06,0.00135345276849818
"MBNL1",1.22789321692649e-06,0.00145136978240711
"MIF",1.23657563762874e-06,0.00146163240367717
"NUCKS1",1.40358398448184e-06,0.00165903626965753
"MT-CO2",1.4306123805032e-06,0.00169098383375479
"CCDC85B",1.50599614439621e-06,0.00178008744267632
"LCP2",1.55069980368081e-06,0.00183292716795072
"SORL1",1.55070186425743e-06,0.00183292960355228
"PRMT2",1.60529303351143e-06,0.00189745636561051
"COX5B",1.61511990061935e-06,0.00190907172253207
"RNF181",1.65167434301305e-06,0.00195227907344143
"MT-ND4",1.65733244716629e-06,0.00195896695255055
"RIPOR2",1.70584899100365e-06,0.00201631350736632
"NDUFB1",1.76265186290378e-06,0.00208345450195227
"NT5C3A",1.77361843073209e-06,0.00209641698512534
"SUB1",1.89783542414666e-06,0.00224324147134135
"EIF2A",2.05760895904254e-06,0.00243209378958828
"JUND",2.07798104568789e-06,0.00245617359600309
"CSTB",2.13361539104776e-06,0.00252193339221846
"SNRPF",2.31765619747849e-06,0.00273946962541957
"C1orf56",2.42727729813258e-06,0.00286904176639271
"AURKAIP1",2.47391877981839e-06,0.00292417199774534
"UXT",2.48466135351575e-06,0.00293686971985562
"DDIT4",2.48712805803458e-06,0.00293978536459687
"UQCR10",2.4963273839946e-06,0.00295065896788161
"RGS10",2.72800642451355e-06,0.00322450359377502
"RSL24D1",2.74824994764188e-06,0.00324843143811271
"OAZ1",2.77225977351143e-06,0.00327681105229051
"MT-ND6",2.9131906458122e-06,0.00344339134335003
"SF3B6",2.9172229826034e-06,0.00344815756543722
"CASP4",2.95555231121783e-06,0.00349346283185948
"CCNI",3.42050805735731e-06,0.00404304052379634
"RHOA",3.4560719246019e-06,0.00408507701487944
"CMPK1",3.60229790696408e-06,0.00425791612603155
"ATP5F1B",4.33628641643292e-06,0.00512549054422371
"ALDOA",4.36313034017263e-06,0.00515722006208405
"POMP",4.43769398973965e-06,0.00524535429587226
"CRBN",4.57795661351341e-06,0.00541114471717285
"UFC1",4.66098821419284e-06,0.00550928806917593
"DHRS7",4.92235077323973e-06,0.00581821861396937
"CDC42SE2",5.17540498650597e-06,0.00611732869405006
"ARGLU1",5.33766956098805e-06,0.00630912542108787
"SNHG25",5.95398144669656e-06,0.00703760606999533
"U2SURP",6.16875582828409e-06,0.0072914693890318
"DDX24",6.23684540764407e-06,0.00737195127183529
"CYTIP",6.36980897367521e-06,0.0075291142068841
"SBDS",6.64591735394503e-06,0.00785547431236303
"CORO1A",6.65467606736858e-06,0.00786582711162966
"HLA-DPB1",6.75426348670904e-06,0.00798353944129008
"CHD2",6.91010120319481e-06,0.00816773962217627
"NFKBIA",7.06112138948739e-06,0.0083462454823741
"GTF3C6",7.41864634909083e-06,0.00876883998462536
"BLOC1S2",7.8413418795566e-06,0.0092684661016359
"CD3D",7.93656045346629e-06,0.00938101445599715
"TUT4",7.97500030345797e-06,0.00942645035868732
"BRK1",8.0489952347397e-06,0.00951391236746232
"UBL5",8.0741778542944e-06,0.00954367822377598
"SMIM27",8.40554568117151e-06,0.00993535499514473
"TNFAIP3",8.45464192420623e-06,0.00999338675441177
"MT-ND5",8.54361472658358e-06,0.0100985526068218
"CNOT7",8.85613298739529e-06,0.0104679491911012
"IFITM1",9.68612528873162e-06,0.0114490000912808
"N4BP2L2",1.00666417308348e-05,0.0118987705258467
"ARL6IP5",1.02609624187723e-05,0.0121284575789888
"C11orf58",1.07210867714038e-05,0.0126723245637993
"MAPK1IP1L",1.09665421576464e-05,0.012962452830338
"SS18L2",1.09915212226185e-05,0.012991978085135
"GTF3A",1.12556477064355e-05,0.0133041755890068
"UBA52",1.13793208046387e-05,0.013450357191083
"BCAS2",1.19017010851089e-05,0.0140678106825987
"ZNF207",1.20394355322534e-05,0.0142306127991236
"ATP6V1G1",1.28671322188927e-05,0.0152089502827311
"IQGAP1",1.33945908214847e-05,0.0158324063509949
"FAM162A",1.39834228711031e-05,0.0165284058336439
"MDH1",1.50596928058697e-05,0.017800556896538
"FTH1",1.63478506458737e-05,0.0193231594634227
"EML4",1.67894204507456e-05,0.0198450949727813
"SSR1",1.71140171618317e-05,0.0202287682852851
"NDUFB4",1.93080538027198e-05,0.0228221195948148
"SON",2.04348792049836e-05,0.0241540272202906
"COMMD6",2.06415055250894e-05,0.0243982595306557
"EEF1B2",2.06649254555657e-05,0.0244259418884787
"MAGOH",2.12062966790228e-05,0.0250658426746049
"PPP1CA",2.13199175074867e-05,0.0252001424938493
"MT-CYB",2.13252355865285e-05,0.0252064284632767
"CD6",2.13921828545618e-05,0.0252855601340921
"PSAP",2.16332482254389e-05,0.0255704994024687
"PCNP",2.16545077669795e-05,0.0255956281805698
"OXNAD1",2.18022421756133e-05,0.0257702502515749
"RAD21",2.18821679771828e-05,0.0258647225490301
"DAD1",2.33458227212835e-05,0.0275947624565571
"RABAC1",2.34893111173469e-05,0.027764365740704
"DDX17",2.37206975061021e-05,0.0280378644522126
"PPP4C",2.60452856139179e-05,0.0307855275956509
"RAP1B",2.61693757422606e-05,0.030932202127352
"ACTR2",2.7507542012633e-05,0.0325139146589322
"HSPA8",2.932124920646e-05,0.0346577165620358
"ANXA1",2.99928175069785e-05,0.0354515102932486
"TOB1",3.2514793488139e-05,0.0384324859029803
"HCST",3.32393663672546e-05,0.0392889310460949
"CDC26",3.61524904979818e-05,0.0427322437686144
"NDUFA2",3.66914608335965e-05,0.043369306705311
"DPY30",3.67704827530484e-05,0.0434627106141032
"TMC6",3.71542885734254e-05,0.0439163690937888
"MT-CO3",3.72227701111302e-05,0.0439973142713559
"FAM133B",3.88271527430332e-05,0.0458936945422652
"HNRNPD",4.00578914537657e-05,0.0473484276983511
"GABARAPL2",4.07749766260947e-05,0.048196022372044
