"","p_value","bonferroni_pval"
"IFI6",4.02004674213365e-47,4.75169524920197e-44
"ISG15",1.152028353968e-44,1.36169751439018e-41
"GNLY",5.84003381160515e-36,6.90291996531728e-33
"FOXP1",2.65857868731929e-30,3.1424400084114e-27
"LDHA",3.03430108783587e-28,3.586543885822e-25
"PSME2",4.03413230977975e-25,4.76834439015966e-22
"LY6E",6.35327741795237e-25,7.5095739080197e-22
"ARPC3",5.87458310647608e-23,6.94375723185473e-20
"GAPDH",2.60919996809003e-22,3.08407436228241e-19
"CHMP5",9.61738571712284e-22,1.13677499176392e-18
"SAT1",9.67074598733065e-22,1.14308217570248e-18
"ST13",1.04185677320974e-21,1.23147470593391e-18
"HSP90AA1",1.27956647593645e-21,1.51244757455689e-18
"ARRDC3",2.81519567308801e-21,3.32756128559002e-18
"GSTK1",4.39385008590462e-21,5.19353080153926e-18
"CAMK4",4.73704149320347e-21,5.5991830449665e-18
"CIB1",1.39218811732221e-20,1.64556635467485e-17
"COX5A",1.85151279718493e-20,2.18848812627259e-17
"ATM",2.97935724054302e-20,3.52160025832185e-17
"PSME1",7.61612504811547e-20,9.00225980687249e-17
"BCL11B",9.678538497103e-20,1.14400325035757e-16
"EIF2S3",1.66865002051078e-19,1.97234432424374e-16
"TIMP1",1.68976838559428e-19,1.99730623177244e-16
"HLA-A",3.58502641762624e-19,4.23750122563421e-16
"IL6ST",4.88279931935235e-19,5.77146879547448e-16
"KLF6",5.67009125601348e-19,6.70204786460793e-16
"CLIC1",2.78363335787998e-18,3.29025462901413e-15
"CYCS",2.94072678806553e-18,3.47593906349346e-15
"PSMB9",5.13703865002168e-18,6.07197968432563e-15
"SP100",8.28968109169968e-18,9.79840305038903e-15
"DYNLRB1",1.05258159785832e-17,1.24415144866853e-14
"CIAO2B",1.55357086934117e-17,1.83632076756126e-14
"UBB",1.73485215931552e-17,2.05059525231094e-14
"SH3BGRL3",2.26846457509365e-17,2.6813251277607e-14
"TATDN1",2.56345689582911e-17,3.03000605087001e-14
"CHMP3",7.21188000307746e-17,8.52444216363756e-14
"LTB",2.85859920846978e-16,3.37886426441128e-13
"IFITM2",3.26059730603974e-16,3.85402601573897e-13
"PPIB",4.17916942002894e-16,4.9397782544742e-13
"ARL4C",4.83464795512963e-16,5.71455388296322e-13
"CALM1",5.59160625214983e-16,6.6092785900411e-13
"TXN",7.54514800423907e-16,8.91836494101058e-13
"TNRC6B",9.58016852897847e-16,1.13237592012526e-12
"SEC61B",1.02918643674904e-15,1.21649836823737e-12
"SF3B5",1.20532991373898e-15,1.42469995803947e-12
"ODF2L",1.45066819106736e-15,1.71468980184162e-12
"PLP2",2.66742026483199e-15,3.15289075303142e-12
"CARD16",4.17211217083653e-15,4.93143658592878e-12
"PHPT1",4.57461053148791e-15,5.40718964821871e-12
"S100A10",8.88261651081542e-15,1.04992527157838e-11
"HNRNPA1",9.29420501026164e-15,1.09857503221293e-11
"VIM",1.13729812629348e-14,1.34428638527889e-11
"EIF3E",1.46173343470717e-14,1.72776891982387e-11
"MYL12B",2.20421239200651e-14,2.6053790473517e-11
"DRAP1",2.36096948341214e-14,2.79066592939314e-11
"TMEM50A",2.83919205075834e-14,3.35592500399636e-11
"TTC19",3.73277534835774e-14,4.41214046175885e-11
"LINC00861",4.23087521058268e-14,5.00089449890873e-11
"CHMP2A",4.2572072318372e-14,5.03201894803157e-11
"PSMA7",5.50476722975133e-14,6.50663486556607e-11
"S100A4",6.31283088223353e-14,7.46176610280003e-11
"FCMR",9.14533197588623e-14,1.08097823954975e-10
"COX4I1",1.06830830689885e-13,1.26274041875444e-10
"GUK1",1.10799414966357e-13,1.30964908490234e-10
"ALOX5AP",1.39973568660653e-13,1.65448758156892e-10
"PCBP2",1.41118623728514e-13,1.66802213247104e-10
"DUSP2",1.68519917864728e-13,1.99190542916108e-10
"HLA-DRA",1.70078545981356e-13,2.01032841349963e-10
"CYTH1",2.18101079133409e-13,2.5779547553569e-10
"LGALS1",2.44643090636603e-13,2.89168133132465e-10
"NCF1",6.34339828084772e-13,7.49789676796201e-10
"ATF7IP2",6.74869088701941e-13,7.97695262845694e-10
"ISG20",8.0865662237547e-13,9.55832127647806e-10
"PSMB8",9.7987776698803e-13,1.15821552057985e-09
"CCR7",9.92327894462863e-13,1.1729315712551e-09
"TMSB4X",1.17789467890338e-12,1.39227151046379e-09
"NKG7",2.36008432475401e-12,2.78961967185924e-09
"HADHA",2.36622433826128e-12,2.79687716782483e-09
"CELF2",2.48273481984042e-12,2.93459255705138e-09
"S100A6",2.63380717163092e-12,3.11316007686775e-09
"CD69",3.11141637825499e-12,3.6776941590974e-09
"COX14",3.33226167780411e-12,3.93873330316446e-09
"CHCHD2",3.34459122044315e-12,3.95330682256381e-09
"COX8A",3.40241881426986e-12,4.02165903846698e-09
"MT2A",3.80775331457164e-12,4.50076441782368e-09
"EIF3L",5.82475615264677e-12,6.88486177242848e-09
"ANKRD44",6.09100928306357e-12,7.19957297258114e-09
"EMP3",8.55937481963395e-12,1.01171810368073e-08
"BST2",9.41192482587328e-12,1.11248951441822e-08
"OGA",1.13109023552719e-11,1.33694865839314e-08
"RSL1D1",1.28513019030196e-11,1.51902388493691e-08
"MYL12A",1.45177136759531e-11,1.71599375649766e-08
"MT-ND4L",2.06063937084595e-11,2.43567573633991e-08
"NPM1",2.49502318987103e-11,2.94911741042755e-08
"IFI16",2.91665630225017e-11,3.4474877492597e-08
"SATB1",3.04202179910284e-11,3.59566976653956e-08
"SEC11C",3.83230036641754e-11,4.52977903310553e-08
"IL2RG",6.1849619623473e-11,7.31062503949451e-08
"ENO1",6.51306684045432e-11,7.698445005417e-08
"IFITM3",9.43665879183659e-11,1.11541306919508e-07
"DBI",1.21845977496445e-10,1.44021945400798e-07
"BAZ1A",1.36162606270784e-10,1.60944200612067e-07
"HNRNPH1",1.65913038740517e-10,1.96109211791292e-07
"RBMX",1.67584602747554e-10,1.98085000447609e-07
"TOMM7",1.71512841172705e-10,2.02728178266138e-07
"PPP2R5C",1.72346137530765e-10,2.03713134561364e-07
"MT-ND3",1.73764548722578e-10,2.05389696590087e-07
"FKBP11",1.96800216350944e-10,2.32617855726816e-07
"TAGLN2",1.98849558989347e-10,2.35040178725408e-07
"JUN",2.29637083938735e-10,2.71431033215585e-07
"MAP1LC3B",2.344645647795e-10,2.7713711556937e-07
"PFDN5",2.49758095940189e-10,2.95214069401304e-07
"EIF3M",2.59865739275808e-10,3.07161303824005e-07
"GPR65",3.17872974116165e-10,3.75725855405307e-07
"CFL1",3.39959026222627e-10,4.01831568995145e-07
"RAC2",3.58077097480479e-10,4.23247129221926e-07
"IL32",4.00591387426098e-10,4.73499019937648e-07
"SELENOK",4.21726031755999e-10,4.98480169535591e-07
"B2M",4.50967970749135e-10,5.33044141425477e-07
"ZFP36",4.55920782755381e-10,5.3889836521686e-07
"COX17",4.66431705234986e-10,5.51322275587754e-07
"CDC42SE1",5.80418224598974e-10,6.86054341475988e-07
"FBL",5.87227694296208e-10,6.94103134658118e-07
"IKZF1",6.04547284992307e-10,7.14574890860907e-07
"H2AZ2",6.79545035163315e-10,8.03222231563038e-07
"SP110",7.55408587361833e-10,8.92892950261687e-07
"UQCRB",7.84349418453232e-10,9.2710101261172e-07
"PSMA3-AS1",8.01001280436404e-10,9.4678351347583e-07
"SET",8.18166327758913e-10,9.67072599411036e-07
"COX7B",8.69833622512836e-10,1.02814334181017e-06
"BUD31",9.129812202077e-10,1.0791438022855e-06
"SNRPB",9.29801364313732e-10,1.09902521261883e-06
"NEDD8",1.03868734419762e-09,1.22772844084159e-06
"TCF7",1.06782057476177e-09,1.26216391936841e-06
"MDM4",1.0699495137266e-09,1.26468032522484e-06
"SVIP",1.12819774507277e-09,1.33352973467601e-06
"CIRBP",1.14583037620262e-09,1.35437150467149e-06
"TRAPPC1",1.4015855970954e-09,1.65667417576676e-06
"ARPC1B",1.58182260375687e-09,1.86971431764062e-06
"PIK3IP1",1.69564431059867e-09,2.00425157512762e-06
"TTC3",1.78426445683581e-09,2.10900058797993e-06
"TXK",1.87774433186703e-09,2.21949380026683e-06
"CD63",2.22978118541889e-09,2.63560136116512e-06
"PRDX1",2.27255926137839e-09,2.68616504694926e-06
"RBL2",2.64924129988156e-09,3.13140321646001e-06
"PYM1",2.91584793629852e-09,3.44653226070485e-06
"YWHAB",2.9790748134895e-09,3.52126642954459e-06
"ELOC",3.03616690806511e-09,3.58874928533296e-06
"NAE1",3.19586189367879e-09,3.77750875832834e-06
"ZC3HAV1",3.33314718833401e-09,3.9397799766108e-06
"EZR",3.34095459704998e-09,3.94900833371308e-06
"RPA3",3.36396995871378e-09,3.97621249119969e-06
"SPOCK2",3.43484639697067e-09,4.05998844121933e-06
"MYL6",3.78368481812069e-09,4.47231545501865e-06
"PPP1R15A",3.94624198342268e-09,4.6644580244056e-06
"RICTOR",4.02384403781801e-09,4.75618365270089e-06
"POLR2K",4.09111207666755e-09,4.83569447462104e-06
"AAK1",4.10030450439136e-09,4.84655992419059e-06
"EIF4B",4.14931416173153e-09,4.90448933916667e-06
"RBM3",4.16035223080227e-09,4.91753633680829e-06
"UBC",4.27099304323454e-09,5.04831377710323e-06
"DYNLL1",4.56256522060573e-09,5.39295209075598e-06
"TMBIM6",4.79197969190912e-09,5.66411999583658e-06
"TTC39C",4.84707909012394e-09,5.7292474845265e-06
"ATP6V0E1",5.04067817127917e-09,5.95808159845198e-06
"NDFIP1",5.07934990169506e-09,6.00379158380356e-06
"LEF1",5.13449441782458e-09,6.06897240186865e-06
"ARID5B",5.93607197269404e-09,7.01643707172436e-06
"SRSF6",6.06161667025148e-09,7.16483090423725e-06
"HNRNPDL",6.81796364677162e-09,8.05883303048406e-06
"S100A11",6.86036912220793e-09,8.10895630244978e-06
"NOSIP",7.01312703030003e-09,8.28951614981464e-06
"PGK1",9.82838461491076e-09,1.16171506148245e-05
"ATP5PD",9.9246474300007e-09,1.17309332622608e-05
"NOP10",1.15313501446189e-08,1.36300558709395e-05
"LBH",1.16432850477169e-08,1.37623629264013e-05
"MGAT4A",1.21912032701977e-08,1.44100022653737e-05
"EEF2",1.35589135274277e-08,1.60266357894195e-05
"ENY2",1.47079657718218e-08,1.73848155422933e-05
"SNHG9",1.74757167629273e-08,2.06562972137801e-05
"YWHAQ",1.77083645814825e-08,2.09312869353123e-05
"LAMTOR2",1.89110479232447e-08,2.23528586452752e-05
"NSRP1",1.93067526640026e-08,2.28205816488511e-05
"VAMP8",2.06707467943293e-08,2.44328227108972e-05
"CSDE1",2.13121876071035e-08,2.51910057515963e-05
"PFDN2",2.43767948372748e-08,2.88133714976589e-05
"ZFAND1",2.5901868210258e-08,3.0616008224525e-05
"SSR4",3.10033048644035e-08,3.66459063497249e-05
"ASH1L",3.50954141879424e-08,4.14827795701479e-05
"DDX21",3.56389267791714e-08,4.21252114529805e-05
"NDUFS6",3.60074001731834e-08,4.25607470047028e-05
"HSD17B11",3.78621457829371e-08,4.47530563154316e-05
"ATP6V1F",3.97737643212059e-08,4.70125894276654e-05
"CAST",4.21964696444116e-08,4.98762271196945e-05
"C4orf48",4.73809822962955e-08,5.60043210742213e-05
"CMTM6",4.859199959717e-08,5.7435743523855e-05
"ANXA2R",4.90819320115414e-08,5.8014843637642e-05
"TRMT112",4.97215530117657e-08,5.87708756599071e-05
"CREBRF",5.22561085041933e-08,6.17667202519565e-05
"NSD3",5.36582275606466e-08,6.34240249766842e-05
"CD99-ENSG00000002586",5.84577403890671e-08,6.90970491398773e-05
"ANKRD49",6.02650340992222e-08,7.12332703052807e-05
"PSMC5",6.52817648549777e-08,7.71630460585836e-05
"CXCR4",6.76664273927049e-08,7.99817171781772e-05
"PDIA3",7.29150136747921e-08,8.61855461636042e-05
"PLAAT4",7.64715602904975e-08,9.03893842633681e-05
"SEC62",8.68849785429099e-08,0.000102698044637719
"TC2N",8.71306549210652e-08,0.000102988434116699
"SNU13",9.16879112911997e-08,0.000108375111146198
"CHD3",9.53810889188444e-08,0.000112740447102074
"PABPN1",9.62045422696884e-08,0.000113713768962772
"HLA-C",9.92473536541415e-08,0.000117310372019195
"RNF7",1.01546059538093e-07,0.000120027442374026
"MORF4L1",1.05456467539335e-07,0.000124649544631494
"RCAN3",1.13427214634159e-07,0.000134070967697576
"TLE4",1.16555982473357e-07,0.000137769171283508
"TMEM147",1.17935675751712e-07,0.000139399968738523
"EIF1AX",1.24547959575949e-07,0.000147215688218771
"MATR3-ENSG00000015479",1.31696877073124e-07,0.000155665708700432
"CYBA",1.43719152185794e-07,0.000169876037883608
"NONO",1.43802736851869e-07,0.000169974834958909
"PABPC1",1.44114306229433e-07,0.00017034310996319
"PTPRCAP",1.49160301664578e-07,0.000176307476567531
"RAN",1.72146502543554e-07,0.00020347716600648
"HLA-F",1.73662462114037e-07,0.000205269030218792
"RAB11A",1.78527834584134e-07,0.000211019900478447
"METAP2",2.04324804259167e-07,0.000241511918634336
"BAX",2.13816409410233e-07,0.000252730995922895
"SRGN",2.2115151375746e-07,0.000261401089261318
"HMGN2",2.43293213056544e-07,0.000287572577832835
"TUBA1A",2.43936690426321e-07,0.000288333168083912
"THUMPD3-AS1",2.48735959481398e-07,0.000294005904107012
"TRA2A",2.80630165131062e-07,0.000331704855184915
"RASGRP2",2.88643811143637e-07,0.000341176984771779
"GNG5",2.88966021886617e-07,0.000341557837869981
"GSTO1",3.14927453038155e-07,0.000372244249491099
"CD53",3.56240110309585e-07,0.000421075810385929
