"","p_value","bonferroni_pval"
"LASP1",7.60482681549838e-19,1.49510895192698e-15
"LRP1",9.37546848123191e-19,1.84321710341019e-15
"EEF1A1",9.51522716639618e-19,1.87069366091349e-15
"MT-ND4L",9.92003164777375e-19,1.95027822195232e-15
"COPS9",1.14630567476553e-18,2.25363695658904e-15
"EEF2",1.28373299735984e-18,2.52381907280944e-15
"TREX1",1.35766886112971e-18,2.66917698098102e-15
"NONO",1.3869882370956e-18,2.72681887412996e-15
"SET",1.47531821625607e-18,2.90047561315943e-15
"CSF3R",1.98908364780729e-18,3.91053845158913e-15
"IFITM2",2.25756689444214e-18,4.43837651447326e-15
"METAP2",2.53550442651055e-18,4.98480170251974e-15
"PSMD7",2.79892638819503e-18,5.50268927919144e-15
"SREK1",3.81937953461603e-18,7.50890016505511e-15
"CD44",4.32402183241335e-18,8.50102692252464e-15
"CDC42SE2",5.93008671812562e-18,1.1658550487835e-14
"TMEM123",1.18704678829609e-17,2.33373398579011e-14
"S100A10",1.34148459560408e-17,2.63735871495762e-14
"FCER1G",1.38674394606825e-17,2.72633859797018e-14
"PSMA3-AS1",1.55393015104269e-17,3.05502667694993e-14
"PPP3CA",1.76338866100306e-17,3.46682210753202e-14
"IL32",2.17857382907295e-17,4.28307614795741e-14
"TNRC6B",2.39088719720877e-17,4.70048422971245e-14
"ZFP36L1",2.92761878291174e-17,5.75569852720448e-14
"BNIP2",3.0986289713925e-17,6.09190455775765e-14
"GLRX",4.00933409757415e-17,7.88235083583079e-14
"NUDT3",4.93527191077826e-17,9.70274457659006e-14
"PSMB9",6.14812523142736e-17,1.20872142049862e-13
"KMT2E-AS1",6.50776060226162e-17,1.27942573440463e-13
"PABPC1",7.51930786255592e-17,1.47829592577849e-13
"HNRNPH3",9.3377220646309e-17,1.83579615790643e-13
"MED13L",1.02900825641208e-16,2.02303023210615e-13
"LDHA",1.08863945592729e-16,2.14026517035305e-13
"EVI5",1.21414944727656e-16,2.38701781334573e-13
"NDUFAF8",1.5659908324617e-16,3.0787379766197e-13
"B2M",1.60118073794795e-16,3.14792133080567e-13
"YPEL3",2.57931386448598e-16,5.07093105757944e-13
"TIMP1",2.72716139750718e-16,5.36159930749912e-13
"DRAP1",2.80595307726495e-16,5.51650374990289e-13
"CNIH4",3.11566094109067e-16,6.12538941018425e-13
"DECR1",3.1177971919106e-16,6.12958927929623e-13
"ATP2B1",4.76065853002167e-16,9.3594546700226e-13
"STAT1",5.8956661833957e-16,1.1590879716556e-12
"RBM3",5.91742450940921e-16,1.16336565854985e-12
"GSTO1",6.75503230249504e-16,1.32803935067053e-12
"CMTM3",7.75270335403589e-16,1.52418147940346e-12
"ID2",8.08126871150454e-16,1.58877742868179e-12
"SP100",1.01672434561712e-15,1.99888006348326e-12
"SFT2D2",1.04683615254698e-15,2.05807987590736e-12
"MEF2C",1.12282565260839e-15,2.20747523302809e-12
"TMA7",1.25146486276171e-15,2.46037992018952e-12
"EIF3L",2.07420050349615e-15,4.07787818987342e-12
"GRN",2.53660206419354e-15,4.9869596582045e-12
"PSME1",2.82839513211958e-15,5.5606248297471e-12
"MT-CO3",3.02867582247675e-15,5.95437666698929e-12
"CLTC",3.21399284535198e-15,6.31870993396199e-12
"STK4",3.62584815923829e-15,7.12841748106247e-12
"PSMB8",4.02819693039901e-15,7.91943516516445e-12
"TRAPPC6A",4.26218062333922e-15,8.3794471054849e-12
"GNG2",4.27578481959207e-15,8.406192955318e-12
"ATM",4.41111736465511e-15,8.67225673891194e-12
"ARL4A",4.53370442432754e-15,8.91326289822794e-12
"PYCARD",4.85929184964863e-15,9.55336777640922e-12
"BRD2",5.47140421263123e-15,1.0756780682033e-11
"RNMT",5.91092835852119e-15,1.16208851528527e-11
"ZSCAN16-AS1",5.92998211592423e-15,1.1658344839907e-11
"TANK",5.96503190212815e-15,1.17272527195839e-11
"C22orf39",9.25541522807756e-15,1.81961463384005e-11
"MATR3-ENSG00000015479",1.08972286647983e-14,2.14239515549935e-11
"CMTM6",1.10379511509846e-14,2.17006119628357e-11
"ARPC3",1.13657197831267e-14,2.2345005093627e-11
"RNF213",1.33258983246081e-14,2.61987161061795e-11
"APEX1",1.35067044125932e-14,2.65541808751581e-11
"ITGAE",1.46485612909049e-14,2.87990714979191e-11
"CRTAP",2.25429464210902e-14,4.43194326638634e-11
"IFI16",2.52250035914768e-14,4.95923570608434e-11
"PCF11",2.57285061233335e-14,5.05822430384737e-11
"CDC42EP3",2.66703769039709e-14,5.24339609932067e-11
"SP3",3.59524412610396e-14,7.06824995192038e-11
"SLC38A2",3.95187901133741e-14,7.76939413628934e-11
"ANKRD44",4.97529517959733e-14,9.78143032308835e-11
"FBL",7.20380014283994e-14,1.41626710808233e-10
"NPM1",7.30507487115402e-14,1.43617771966888e-10
"KMT2C",7.58018805435121e-14,1.49026497148545e-10
"MT-ND5",9.14935744448737e-14,1.79876367358622e-10
"ATP5PD",1.14773528999453e-13,2.25644758012925e-10
"MT-CO1",1.18583668006971e-13,2.33135491301705e-10
"MAP3K1",1.32244617474951e-13,2.59992917955754e-10
"IL10RA",1.62445666342788e-13,3.19368180029921e-10
"SNX2",1.63839114588036e-13,3.2210769928008e-10
"GSTK1",1.73327743266634e-13,3.40762343262203e-10
"MYL12A",1.90053340372817e-13,3.73644867172958e-10
"MT-CO2",2.80555394332734e-13,5.51571905258154e-10
"EIF4EBP2",2.94382490304387e-13,5.78755975938425e-10
"C12orf57",3.29124722555131e-13,6.47059204543388e-10
"HMGB1",3.58485482902048e-13,7.04782459385427e-10
"MBNL1",3.61623976218016e-13,7.10952737244619e-10
"BIRC6",4.03052199511718e-13,7.92400624240037e-10
"THUMPD1",4.42525569875143e-13,8.70005270374531e-10
"PYM1",4.56204886654577e-13,8.968988071629e-10
"WASF2",4.60244060242307e-13,9.04839822436375e-10
"ILF3",4.72679249628072e-13,9.29287404768791e-10
"RBX1",4.80072466053921e-13,9.43822468262008e-10
"CPEB4",5.74207958204286e-13,1.12889284582963e-09
"CHP1",5.84881519159432e-13,1.14987706666744e-09
"STT3B",5.8999477762217e-13,1.15992973280519e-09
"CAPG",6.17510516129288e-13,1.21402567471018e-09
"CALM1",6.53245842556921e-13,1.28428132646691e-09
"DYNLRB1",6.56897695212145e-13,1.29146086878708e-09
