"","p_value","bonferroni_pval"
"TCEA1",8.27315961192522e-10,1.6265031797045e-06
"RCSD1",9.1976868513732e-10,1.80826523497997e-06
"OGA",9.57770017201233e-10,1.88297585381762e-06
"PRMT2",1.06036295420289e-09,2.08467356796289e-06
"CORO1A",1.09969585511083e-09,2.1620020511479e-06
"MT-CYB",1.13424317061165e-09,2.2299220734225e-06
"CLTA",1.1405286980336e-09,2.24227942033406e-06
"H2AJ",1.15909324695798e-09,2.27877732351939e-06
"NKTR",1.16271044099835e-09,2.28588872700275e-06
"SEPTIN9",1.20249446661346e-09,2.36410412136207e-06
"PRDX1",1.26105413937343e-09,2.47923243800816e-06
"ADAR",1.38844549357187e-09,2.72968384036229e-06
"NKG7",1.46757785174406e-09,2.88525805652883e-06
"RSL1D1",1.54293780057289e-09,3.0334157159263e-06
"CDV3",1.60915472297582e-09,3.16359818537047e-06
"CELF1",1.61961636210336e-09,3.1841657678952e-06
"KMT2E",1.67811236503078e-09,3.29916890965052e-06
"KHDRBS1",1.70254688313424e-09,3.34720717224191e-06
"GAPDH",1.72012836253259e-09,3.38177236073907e-06
"RGS10",1.76735825447479e-09,3.47462632829745e-06
"DYNLT1",1.78507352124986e-09,3.50945454277723e-06
"LYSMD2",1.80265074112245e-09,3.54401135704673e-06
"HMGN1",2.04468771191918e-09,4.01985604163311e-06
"FCN1",2.11314130981586e-09,4.15443581509797e-06
"ERP44",2.18402960008798e-09,4.29380219377298e-06
"TXN",2.20235267447427e-09,4.32982535801641e-06
"TM9SF3",2.20914315254634e-09,4.34317543790611e-06
"HMGN2",2.22557969253775e-09,4.37548967552922e-06
"BST1",2.23641287035538e-09,4.39678770311868e-06
"ARHGEF1",2.29810335806206e-09,4.51807120195e-06
"FCGR2A",2.33988433072927e-09,4.60021259421374e-06
"CYBA",2.41251438798669e-09,4.74300328678182e-06
"HSPA9",2.49910983981189e-09,4.91324994507017e-06
"TALDO1",2.51405801463179e-09,4.9426380567661e-06
"SERPINA1",2.6868636751403e-09,5.28237398532583e-06
"TOMM7",2.71884934157152e-09,5.3452578055296e-06
"EIF3J",2.86979167595481e-09,5.64201043492716e-06
"WDR45B",2.96630993344394e-09,5.83176532915078e-06
"FXR1",2.99697108503375e-09,5.89204515317636e-06
"NOTCH2",3.60299138412297e-09,7.08348106118576e-06
"NOP53",3.65748777012116e-09,7.1906209560582e-06
"MS4A6A",3.66048129711897e-09,7.19650623013589e-06
"CYP1B1",3.66982256995688e-09,7.21487117253522e-06
"NAMPT",4.0578523135993e-09,7.97773764853621e-06
"CLIC1",4.46135413528693e-09,8.7710222299741e-06
"TPT1",5.61324184478555e-09,1.10356334668484e-05
"UBE2L3",6.00401672217273e-09,1.18038968757916e-05
"ATP5MJ",6.98181745648775e-09,1.37262531194549e-05
"SRSF9",7.33767924219507e-09,1.44258773901555e-05
"TMEM50A",7.49867155471707e-09,1.47423882765738e-05
"SNHG25",7.65319961399651e-09,1.50461904411171e-05
"NCL",8.28801811224724e-09,1.62942436086781e-05
"MBP",8.91224874198331e-09,1.75214810267392e-05
"NDUFB3",9.48726111279653e-09,1.8651955347758e-05
"PDIA4",9.8580227061786e-09,1.93808726403471e-05
"PLBD1",1.03743686972559e-08,2.03960088588051e-05
"DDIT4",1.09074231935471e-08,2.14439939985135e-05
"FAM133B",1.16125662734933e-08,2.28303052936878e-05
"POLR2L",1.17296902067768e-08,2.30605709465232e-05
"MYCBP2",1.18652019120419e-08,2.33269869590743e-05
"HNRNPUL1",1.19492825638904e-08,2.34922895206086e-05
"COMMD6",1.22132470927106e-08,2.40112437842689e-05
"ARHGAP4",1.27584706368776e-08,2.50831532721014e-05
"HNRNPA2B1",1.30742996383789e-08,2.57040730890529e-05
"RBM5",1.31119269773384e-08,2.57780484374472e-05
"EWSR1",1.31516310316587e-08,2.5856106608241e-05
"BLOC1S1",1.37258359418723e-08,2.6984993461721e-05
"ITM2B",1.46975245719156e-08,2.88953333083861e-05
"HLA-F",1.54066010168516e-08,3.02893775991302e-05
"SRRM2",1.59593627120898e-08,3.13761070919686e-05
"RAB4A",1.66355227306854e-08,3.27054376885276e-05
"RANBP1",1.69381821074722e-08,3.33004660232904e-05
"CYTH1",1.78973319905577e-08,3.51861546934365e-05
"GIMAP2",1.8343539483767e-08,3.60633986250858e-05
"CD163",2.06365505961661e-08,4.05714584720625e-05
"ANAPC15",2.16967814418938e-08,4.26558723147631e-05
"LPGAT1",2.27673626731968e-08,4.47606350155048e-05
"RBM26",2.5289574692894e-08,4.97193038462296e-05
"EVL",2.58396073169674e-08,5.0800667985158e-05
"SRSF7",2.93703839230947e-08,5.77421747928041e-05
"USP3",3.12349553323026e-08,6.14079221833069e-05
"SSH2",3.18509845482941e-08,6.26190356219461e-05
"PPP4R3A",3.23379362370556e-08,6.35763826420514e-05
"ANP32B",3.54087532978957e-08,6.96136089836629e-05
"NFKBIA",3.84057439276508e-08,7.55056925617616e-05
"PLAAT4",4.05091839829152e-08,7.96410557104113e-05
"C6orf62",4.29606963735262e-08,8.44607290703526e-05
"DPEP2",4.58802239832822e-08,9.02005203511328e-05
"CD302",4.66827510000874e-08,9.17782884661718e-05
"RNH1",4.88795580975622e-08,9.60972112198073e-05
"CSF2RA-ENSG00000198223",5.22400230794473e-08,0.000102703885374193
"HEXB",5.28917638027113e-08,0.00010398520763613
"APBB1IP",5.46036137144155e-08,0.000107350704562541
"HNRNPM",5.53770799022822e-08,0.000108871339087887
"CALM3",5.86887230494362e-08,0.000115382029515192
"TTC17",6.27762488020326e-08,0.000123418105144796
"CASP1",6.3048895006358e-08,0.0001239541275825
"EIF3F",6.41165434372535e-08,0.00012605312439764
"NDUFB1",6.44711451914036e-08,0.000126750271446299
"EMC3",7.20888019411772e-08,0.000141726584616354
"MORF4L2",7.5639096301395e-08,0.000148706463328543
"SNRPD2",7.59471697582521e-08,0.000149312135744724
"AIF1",7.96066627494001e-08,0.000156506698965321
"CCNI",8.00952932454172e-08,0.00015746734652049
"LMAN2",8.24519780814872e-08,0.000162100588908204
"HNRNPA0",8.82761425499375e-08,0.000173550896253177
"IRF2BP2",8.94832981612859e-08,0.000175924164185088
"MPLKIP",9.02585370405555e-08,0.000177448283821732
"PPHLN1",9.35701605997173e-08,0.000183958935739044
"DNAJC3",9.58869542349508e-08,0.000188513752025913
"UQCC5",9.7226298798221e-08,0.000191146903437302
"CNOT1",9.75661735393068e-08,0.000191815097178277
"FERMT3",9.88145233392568e-08,0.000194269352884979
"JUND",1.00192341214653e-07,0.000196978142828008
"MED30",1.00341548983831e-07,0.000197271485302212
"RBM25",1.09594139263012e-07,0.000215462077791081
"BTG2",1.11800702238504e-07,0.000219800180600898
"EIF5",1.21089273066275e-07,0.000238061510848296
"HNRNPK",1.27417863239777e-07,0.000250503519129402
