"","p_value","bonferroni_pval","fdr"
"OGA",1.16448703931469e-11,1.37642368046996e-08,1.69928849440736e-10
"SEC11C",1.22792547120296e-11,1.4514079069619e-08,1.77000964263646e-10
"LGALS1",1.43628544039605e-11,1.69768939054813e-08,2.04540890427485e-10
"CELF2",1.46859197778388e-11,1.73587571774054e-08,2.06651871159588e-10
"EIF3M",1.59213907357796e-11,1.88190838496915e-08,2.21400986466958e-10
"CCR7",1.69705162729383e-11,2.00591502346131e-08,2.33245932960617e-10
"TCF7",1.73843180873344e-11,2.05482639792292e-08,2.36186942289991e-10
"ANKRD44",1.81815835617445e-11,2.14906317699821e-08,2.44211724658887e-10
"NCF1",2.55588148421671e-11,3.02105191434415e-08,3.39444035319568e-10
"CIRBP",2.7934807843887e-11,3.30189428714744e-08,3.63904390709486e-10
"NPM1",2.80163278803411e-11,3.31152995545632e-08,3.63904390709486e-10
"MYL12A",3.00331474217612e-11,3.54991802525218e-08,3.85860654918715e-10
"PSMA7",3.07828936933056e-11,3.63853803454873e-08,3.91240648876207e-10
"CHCHD2",3.41077360158417e-11,4.03153439707249e-08,4.28886637986435e-10
"IFI16",4.32053729995888e-11,5.1068750885514e-08,5.37565798794884e-10
"MT-ND4L",5.13647923369e-11,6.07131845422158e-08,6.26260119829644e-10
"RBMX",5.13935969741755e-11,6.07472316234754e-08,6.26260119829644e-10
"COX8A",5.34132979426137e-11,6.31345181681694e-08,6.44229777226219e-10
"IFITM3",5.62347525149675e-11,6.64694774726915e-08,6.69004326695699e-10
"EMP3",5.65993508202791e-11,6.69004326695699e-08,6.69004326695699e-10
"PPIB",6.91872224199573e-11,8.17792969003895e-08,8.09696008914748e-10
"TTC3",7.94100162383723e-11,9.38626391937561e-08,9.20221952879962e-10
"RBM3",8.0965969559724e-11,9.57017760195938e-08,9.2914345650091e-10
"FKBP11",1.10413175585794e-10,1.30508373542408e-07,1.25488820713854e-09
"FBL",1.27754070863625e-10,1.51005311760805e-07,1.43814582629338e-09
"DBI",1.43267600453513e-10,1.69342303736053e-07,1.59756890317031e-09
"COX17",1.48128525253708e-10,1.75087916849883e-07,1.63633567149423e-09
"IL32",1.52128751528161e-10,1.79816184306287e-07,1.66496466950265e-09
"SELENOK",1.59645613147798e-10,1.88701114740697e-07,1.73120288752933e-09
"GPR65",2.02797538777468e-10,2.39706690834967e-07,2.17915173486334e-09
"TOMM7",2.33265253319723e-10,2.75719529423912e-07,2.48395972453975e-09
"CD69",2.89306330148231e-10,3.41960082235209e-07,3.05321501995723e-09
"PPP2R5C",3.81105570974129e-10,4.50466784891421e-07,3.98643172470284e-09
"POLR2K",4.46884074599351e-10,5.28216976176433e-07,4.60885868384119e-09
"PRDX1",4.48408416786579e-10,5.30018748641736e-07,4.60885868384119e-09
"SATB1",4.82244751180729e-10,5.70013295895622e-07,4.91390772323812e-09
"IL2RG",4.94755691439991e-10,5.84801227282069e-07,4.99830108788093e-09
"COX7B",5.18426161919351e-10,6.12779723388673e-07,5.19304850329384e-09
"MAP1LC3B",5.27277649541845e-10,6.23242181758461e-07,5.23732925847446e-09
"DYNLL1",5.40966775210329e-10,6.39422728298608e-07,5.32852273582174e-09
"H2AZ2",5.56414103603952e-10,6.57681470459872e-07,5.43538405338737e-09
"NOSIP",5.91942802118164e-10,6.9967639210367e-07,5.73505239429238e-09
"TMSB4X",6.8128993072334e-10,8.05284698114988e-07,6.54703006597551e-09
"ZFP36",9.80738583868849e-10,1.15923300613298e-06,9.34865327526596e-09
"HNRNPDL",1.04205762269084e-09,1.23171211002058e-06,9.85369688016463e-09
"B2M",1.15852684872105e-09,1.36937873518828e-06,1.0868085199907e-08
"RPA3",1.27783784443232e-09,1.510404332119e-06,1.1892947497e-08
"TXK",1.32648630395307e-09,1.56790681127253e-06,1.22492719630667e-08
"JUN",1.36070721780186e-09,1.60835593144179e-06,1.24678754375333e-08
"BAZ1A",1.44816085516477e-09,1.71172613080476e-06,1.31671240831136e-08
"ELOC",1.55549809891551e-09,1.83859875291813e-06,1.40351049841078e-08
"CSDE1",1.59474274348556e-09,1.88498592279993e-06,1.42801963848479e-08
"LINC00861",1.60829222847799e-09,1.90100141406098e-06,1.42932437147442e-08
"PSMA3-AS1",1.66781814595878e-09,1.97136104852328e-06,1.47116496158454e-08
"CD63",1.79755479881317e-09,2.12470977219716e-06,1.57385909051642e-08
"TRAPPC1",2.0408498836922e-09,2.41228456252418e-06,1.77373864891484e-08
"NEDD8",2.2500193998985e-09,2.65952293068003e-06,1.94125761363506e-08
"NOP10",2.34680382920593e-09,2.77392212612141e-06,2.01008849718943e-08
"AAK1",2.84943562737841e-09,3.36803291156128e-06,2.41580057019411e-08
"CFL1",2.86135431325868e-09,3.38212079827176e-06,2.41580057019411e-08
"ZC3HAV1",3.24876747018094e-09,3.84004314975387e-06,2.72343485798147e-08
"SRGN",3.47840395547799e-09,4.11147347537499e-06,2.89540385589788e-08
"PSMC5",3.91259643891682e-09,4.62468899079968e-06,3.23404824531446e-08
"ENO1",4.19321337431416e-09,4.95637820843933e-06,3.4419293114162e-08
"EIF4B",4.44016906136845e-09,5.24827983053751e-06,3.61950333140518e-08
"BUD31",5.18090711557312e-09,6.12383221060743e-06,4.19440562370372e-08
"LBH",5.21652903600739e-09,6.16593732056073e-06,4.19451518405492e-08
"LAMTOR2",5.9306647697637e-09,7.0100457578607e-06,4.73651740395993e-08
"RCAN3",7.03049256469749e-09,8.31004221147243e-06,5.57720953790096e-08
"PFDN5",7.33411240549598e-09,8.66892086329625e-06,5.77928057553083e-08
"ENY2",7.50116581628307e-09,8.86637799484659e-06,5.87177350652092e-08
"NDFIP1",7.88453940081665e-09,9.31952557176528e-06,6.13126682352979e-08
"MYL6",8.4619771770698e-09,1.00020570232965e-05,6.53729217208922e-08
"EEF2",9.64674737163779e-09,1.14024553932759e-05,7.4041918138155e-08
"MT-CO3",9.85458651474817e-09,1.16481212604323e-05,7.51491694221441e-08
"HSD17B11",9.92338703272804e-09,1.17294434726845e-05,7.51692606014466e-08
"RASGRP2",9.984411095116e-09,1.18015739144271e-05,7.51692606014466e-08
"ASH1L",1.15097118679377e-08,1.36044794279024e-05,8.61043001765972e-08
"YWHAQ",1.27710223633234e-08,1.50953484334483e-05,9.49392983235739e-08
"RICTOR",1.38297753259868e-08,1.63467944353164e-05,1.02167465220727e-07
"RBL2",1.448156307614e-08,1.71172075559975e-05,1.06318059354022e-07
"ARPC1B",1.48128823919393e-08,1.75088269872722e-05,1.08079178933779e-07
"RAC2",1.6053276792885e-08,1.89749731691901e-05,1.16410878338589e-07
"SNRPB",1.64473633425118e-08,1.9440783470849e-05,1.18541362627128e-07
