"","p_value","bonferroni_pval","fdr"
"IFI6",9.24967870319132e-93,1.02578936818392e-89,1.02578936818392e-89
"ISG15",2.92968490900918e-63,3.24902056409118e-60,1.62451028204559e-60
"LY6E",3.19379868784405e-42,3.54192274481905e-39,1.18064091493968e-39
"MT-ND3",2.61212809909618e-30,2.89685006189766e-27,7.24212515474416e-28
"ARPC3",3.11682180410189e-28,3.456555380749e-25,6.913110761498e-26
"NKG7",5.37849641773521e-26,5.96475252726835e-23,9.94125421211392e-24
"GAPDH",4.66102172420726e-23,5.16907309214585e-20,7.38439013163693e-21
"BST2",3.43055752867772e-22,3.80448829930359e-19,4.75561037412949e-20
"LDHA",9.35399647109851e-22,1.03735820864482e-18,1.15262023182758e-19
"PSME2",1.14489771837074e-21,1.26969156967315e-18,1.26969156967315e-19
"CIB1",1.01484344961051e-20,1.12546138561806e-17,1.02314671419823e-18
"DRAP1",2.55918111488331e-20,2.83813185640559e-17,2.365109880338e-18
"TMSB4X",3.84284274739376e-20,4.26171260685968e-17,3.27824046681514e-18
"DYNLRB1",9.18140373426625e-20,1.01821767413013e-16,7.27298338664376e-18
"MT-ND4L",1.18449174630588e-19,1.31360134665322e-16,8.4500511170795e-18
"PSMB8",1.21912369588162e-19,1.35200817873272e-16,8.4500511170795e-18
"COX5A",1.53201753294728e-19,1.69900744403854e-16,9.9941614355208e-18
"MYL12B",1.97364996810288e-19,2.18877781462609e-16,1.21598767479227e-17
"MT-ND4",3.05874473953876e-19,3.39214791614848e-16,1.7853410084992e-17
"PSMA7",5.59197565214979e-19,6.20150099823412e-16,3.10075049911706e-17
"ATF7IP2",6.42899875034578e-19,7.12975961413347e-16,3.39512362577784e-17
"PSME1",9.01374145894988e-19,9.99623927797542e-16,4.54374512635246e-17
"HLA-DPB1",2.80627218280242e-18,3.11215585072788e-15,1.35311123944691e-16
"UBB",3.57153131816941e-18,3.96082823184988e-15,1.65034509660412e-16
"PLAAT4",7.90075811804017e-18,8.76194075290655e-15,3.50477630116262e-16
"IFITM2",1.43392116813389e-17,1.59021857546048e-14,6.11622529023263e-16
"MT-CO3",1.82755323132118e-17,2.02675653353519e-14,7.50650567975996e-16
"CD8A",2.42898211888867e-17,2.69374116984754e-14,9.62050417802691e-16
"CYCS",4.1202725654976e-17,4.56938227513684e-14,1.57564906039201e-15
"MT-CYB",4.63192230661006e-17,5.13680183803055e-14,1.71226727934352e-15
"HLA-DPA1",4.79872933142514e-17,5.32179082855048e-14,1.71670671888725e-15
"HLA-A",1.64069517120953e-16,1.81953094487137e-13,5.61191353466202e-15
"B2M",1.66991115098148e-16,1.85193146643847e-13,5.61191353466202e-15
"DBI",2.09010204334575e-16,2.31792316607043e-13,6.81742107667775e-15
"HNRNPA1",4.4432004740096e-16,4.92750932567665e-13,1.40785980733619e-14
"FBL",4.76645620964544e-16,5.2859999364968e-13,1.46833331569355e-14
"MT-CO2",6.39935722740086e-16,7.09688716518755e-13,1.91807761221285e-14
"ANXA6",9.80563112475725e-16,1.08744449173558e-12,2.8616960308831e-14
"KLF6",1.19822739844529e-15,1.32883418487583e-12,3.40726714070725e-14
"EIF2S3",2.46563758599762e-15,2.73439208287136e-12,6.8286210307887e-14
"SH3BGRL3",2.52455782021945e-15,2.79973462262337e-12,6.8286210307887e-14
"COX8A",4.16146530473243e-15,4.61506502294827e-12,1.09882500546387e-13
"GZMH",4.54609234842949e-15,5.0416164144083e-12,1.17246893358333e-13
"CIRBP",4.94094870641816e-15,5.47951211541774e-12,1.24534366259494e-13
"PSMD8",8.52973934900688e-15,9.45948093804863e-12,2.10210687512192e-13
"EIF4B",1.03656060123438e-14,1.14954570676893e-11,2.49901240601942e-13
"HADHA",1.2664693736818e-14,1.40451453541311e-11,2.98832879875131e-13
"TTC19",1.89639055857016e-14,2.10309712945431e-11,4.38145235302981e-13
"LST1",2.11032656914849e-14,2.34035216518568e-11,4.7762289085422e-13
"IFI27L2",2.26699474909068e-14,2.51409717674156e-11,5.02819435348313e-13
"ST13",2.68755194179179e-14,2.98049510344709e-11,5.84410804597469e-13
"ATM",4.61882449687105e-14,5.12227636702999e-11,9.85053147505768e-13
"PCBP2",5.89468970827543e-14,6.53721088647746e-11,1.2334360163165e-12
"TC2N",7.1497669911348e-14,7.9290915931685e-11,1.457860669437e-12
"MYL6",7.230147594142e-14,8.01823368190348e-11,1.457860669437e-12
"IRF1-AS1",1.26673447402451e-13,1.40480853169319e-10,2.50858666373783e-12
"HLA-DRB1",2.06510647992386e-13,2.29020308623556e-10,4.01790015129046e-12
"CALM1",2.50570392767109e-13,2.77882565578724e-10,4.79107871687455e-12
"SAT1",2.70835491538622e-13,3.00356560116332e-10,5.0907891545141e-12
"SVIP",2.85687279720535e-13,3.16827193210073e-10,5.28045322016788e-12
"TTC3",3.40360822235511e-13,3.77460151859181e-10,6.18787134195379e-12
"MIEN1",3.86318313065716e-13,4.2842700918988e-10,6.91011305144967e-12
"TOMM7",5.30350829861529e-13,5.88159070316436e-10,9.33585825899104e-12
"REEP5",5.90629709878355e-13,6.55008348255096e-10,1.02345054414859e-11
"PSMB9",6.95168190797451e-13,7.70941523594373e-10,1.18606388245288e-11
"SP100",9.02843044573215e-13,1.0012529364317e-09,1.51704990368439e-11
"TMEM50A",9.82173273413503e-13,1.08923016021557e-09,1.62571665703817e-11
"SP110",1.8046480722919e-12,2.00135471217172e-09,2.91230647677066e-11
"RHOG",1.81198509375271e-12,2.00949146897176e-09,2.91230647677066e-11
"SET",2.8317681649307e-12,3.14043089490815e-09,4.48632984986878e-11
"RSL1D1",3.36424296687833e-12,3.73094545026807e-09,5.25485274685644e-11
"AAK1",3.43708821388106e-12,3.8117308291941e-09,5.27265369535078e-11
"PHPT1",3.47072786078095e-12,3.84903719760607e-09,5.27265369535078e-11
"MT-ND5",3.84711031439085e-12,4.26644533865945e-09,5.76546667386413e-11
"SUB1",4.24756349561463e-12,4.71054791663663e-09,6.2807305555155e-11
"EIF3L",4.96435035792749e-12,5.50546454694158e-09,7.24403229860734e-11
"SORL1",5.54701211698715e-12,6.15163643773875e-09,7.98913823082954e-11
"HSD17B11",6.81158654389947e-12,7.55404947718451e-09,9.68467881690321e-11
"PDCD4",7.4892633325515e-12,8.30559303579961e-09,1.05134089060755e-10
"MIF",1.23654741042777e-11,1.3713310781644e-08,1.7141638477055e-10
"PABPC1",1.25891966231958e-11,1.39614190551241e-08,1.72363198211409e-10
"CSDE1",1.27809379156433e-11,1.41740601484484e-08,1.72854392054249e-10
"CARD16",1.37537286446648e-11,1.52528850669333e-08,1.83769699601605e-10
"ARPC2",1.72298013102677e-11,1.91078496530868e-08,2.27474400631986e-10
"CLIC1",2.03605536847819e-11,2.25798540364231e-08,2.65645341604978e-10
"HSP90AA1",2.07048779260713e-11,2.2961709620013e-08,2.66996623488524e-10
"FOXP1",2.16753429440825e-11,2.40379553249874e-08,2.76298337068821e-10
"PPP1CA",2.55828270301541e-11,2.83713551764409e-08,3.22401763368647e-10
"S100A10",2.86287142069736e-11,3.17492440555337e-08,3.5673307927566e-10
"UBC",2.92741893915844e-11,3.24650760352671e-08,3.60723067058523e-10
"CFL1",3.52793943466672e-11,3.9124848330454e-08,4.29943388246747e-10
"EEF2",3.89494273344314e-11,4.31949149138844e-08,4.69509944716135e-10
"CD3D",4.03681357999706e-11,4.47682626021674e-08,4.81379167765241e-10
"CIAO2B",4.56101719137251e-11,5.05816806523211e-08,5.34046448372748e-10
"CD99-ENSG00000002586",4.57478923312994e-11,5.07344125954111e-08,5.34046448372748e-10
"IL7R",5.05782017057341e-11,5.60912256916591e-08,5.84283600954782e-10
"TNRC6B",7.92517474569315e-11,8.7890187929737e-08,9.06084411646773e-10
"CHCHD2",9.20318795232193e-11,1.0206335439125e-07,1.04146279991072e-09
"EIF3M",1.1138471431083e-10,1.2352564817071e-07,1.24773381990616e-09
"LGALS1",1.18420672558198e-10,1.31328525867042e-07,1.31328525867042e-09
"ZC3HAV1",1.21207784174217e-10,1.34419432649207e-07,1.33088547177432e-09
"ARL6IP5",1.4187947418282e-10,1.57344336868747e-07,1.5425915379289e-09
"BCL11B",1.50076217995219e-10,1.66434525756697e-07,1.61586918210386e-09
"UFM1",1.58180638157357e-10,1.75422327716509e-07,1.68675315112028e-09
"ZFP36",1.81272746497403e-10,2.0103147586562e-07,1.91458548443448e-09
