"","p_value","bonferroni_pval","fdr"
"TMSB4X",3.67371928963641e-49,4.07415469220678e-46,4.07415469220678e-46
"IFI6",3.47357620905812e-45,3.85219601584545e-42,1.92609800792273e-42
"ISG15",2.82478700007445e-35,3.13268878308256e-32,1.04422959436085e-32
"MT-ND3",8.05170116937553e-34,8.92933659683747e-31,2.23233414920937e-31
"NKG7",9.72662016905348e-28,1.07868217674803e-24,2.15736435349606e-25
"ARPC3",5.01988338263559e-26,5.56705067134287e-23,9.27841778557145e-24
"MT-CO2",3.38455876270402e-24,3.75347566783876e-21,5.36210809691251e-22
"GAPDH",1.51714927842771e-22,1.68251854977633e-19,2.10314818722042e-20
"LY6E",2.42483154852996e-21,2.68913818731973e-18,2.98793131924414e-19
"MT-ND4L",1.05436971429154e-20,1.16929601314932e-17,1.16929601314932e-18
"MT-ND4",3.24942593990914e-20,3.60361336735924e-17,3.27601215214476e-18
"MIF",1.45998090866975e-19,1.61911882771476e-16,1.3492656897623e-17
"LTB",3.24520323950713e-19,3.5989303926134e-16,2.768407994318e-17
"HLA-A",6.64627823836637e-19,7.37072256634831e-16,5.26480183310593e-17
"MYL12B",7.32539862121452e-19,8.1238670709269e-16,5.41591138061794e-17
"UBB",8.03108407315398e-19,8.90647223712777e-16,5.56654514820485e-17
"IFITM2",4.76327337605088e-18,5.28247017404043e-15,3.10733539649437e-16
"CIRBP",5.70611003113122e-17,6.32807602452453e-14,3.51139714376991e-15
"MT-CO3",6.01591936263555e-17,6.67165457316282e-14,3.51139714376991e-15
"CYCS",7.62868933063956e-17,8.46021646767928e-14,4.23010823383964e-15
"PSME1",9.38980646441448e-17,1.04132953690357e-13,4.95871208049317e-15
"CIB1",1.10824366682301e-16,1.22904222650672e-13,5.58655557503054e-15
"PLAAT4",1.53887655630023e-16,1.70661410093696e-13,7.42006130842156e-15
"ATF7IP2",1.79716753169903e-16,1.99305879265423e-13,8.30441163605929e-15
"MT-CYB",3.16317652477382e-16,3.50796276597416e-13,1.40318510638967e-14
"DBI",1.00922105734008e-15,1.11922615259015e-12,4.30471597150059e-14
"COX8A",1.91690485184555e-15,2.12584748069672e-12,7.87350918776561e-14
"EIF2S3",2.06742621024188e-15,2.29277566715824e-12,8.18848452556515e-14
"SNHG25",2.37548624819872e-15,2.63441424925238e-12,8.802155330791e-14
"B2M",2.38110604079107e-15,2.6406465992373e-12,8.802155330791e-14
"PSME2",7.57902138556692e-15,8.40513471659371e-12,2.71133377954636e-13
"GZMH",1.49208306777435e-14,1.65472012216175e-11,5.17100038175548e-13
"HNRNPA1",2.99935365988754e-14,3.32628320881528e-11,1.0079646087319e-12
"PFDN5",4.34204504330595e-14,4.8153279530263e-11,1.41627292736068e-12
"IFI27L2",8.6941790098596e-14,9.6418445219343e-11,2.71233020601688e-12
"SH3BGRL3",8.86897251543559e-14,9.83569051961807e-11,2.71233020601688e-12
"SRSF6",9.0492531670536e-14,1.00356217622624e-10,2.71233020601688e-12
"TTC19",1.01234237922188e-13,1.12268769855706e-10,2.95444131199227e-12
"GSTK1",2.10735218842408e-13,2.3370535769623e-10,5.99244506913411e-12
