"","p_value","bonferroni_pval","fdr"
"ATM",2.20565299001293e-13,2.44606916592434e-10,6.11517291481086e-12
"RHOG",2.56726770035141e-13,2.84709987968972e-10,6.9441460480237e-12
"MYL6",4.00213090848077e-13,4.43836317750517e-10,1.05675313750123e-11
"CHCHD2",5.42494464638354e-13,6.01626361283935e-10,1.39913107275334e-11
"PDCD4",8.92545586050796e-13,9.89833054930333e-10,2.24962057938712e-11
"TLE4",9.68969351915805e-13,1.07458701127463e-09,2.38797113616584e-11
"TC2N",1.06333107124612e-12,1.17923415801194e-09,2.52853465871702e-11
"HSP90AA1",1.07160621244094e-12,1.188411289597e-09,2.52853465871702e-11
"RSL1D1",1.11668022804043e-12,1.23839837289683e-09,2.57999661020174e-11
"EIF4B",1.25295005019819e-12,1.38952160566979e-09,2.83575837891795e-11
"IL7R",1.32953313661834e-12,1.47445224850974e-09,2.94890449701949e-11
"CALM1",1.81744608772831e-12,2.0155477112907e-09,3.95205433586412e-11
"FBL",2.42757299210283e-12,2.69217844824204e-09,5.1772662466193e-11
"LST1",2.50474479076744e-12,2.7777619729611e-09,5.24106032634169e-11
"MT-ATP6",2.92279664784183e-12,3.24138148245659e-09,6.00255830084553e-11
"HNRNPH1",3.07339594313864e-12,3.40839610094076e-09,6.19708381989228e-11
"DRAP1",3.42340164849328e-12,3.79655242817904e-09,6.77955790746258e-11
"LGALS1",3.75596242258479e-12,4.16536232664653e-09,7.30765320464303e-11
"SET",5.09384235616216e-12,5.64907117298384e-09,9.7397778844549e-11
"KLF6",6.03359016775286e-12,6.69125149603792e-09,1.13411042305727e-10
"PTMA",6.31111834304886e-12,6.99903024244118e-09,1.16650504040686e-10
"TYROBP",7.19304896456985e-12,7.97709130170797e-09,1.3077198855259e-10
"EIF3L",9.51531427553338e-12,1.05524835315665e-08,1.70201347283331e-10
"SORL1",9.81484081277492e-12,1.08846584613674e-08,1.72772356529641e-10
"SUB1",1.10159346510193e-11,1.22166715279804e-08,1.90885492624694e-10
"CD69",1.22124264914266e-11,1.35435809789921e-08,2.08362784292186e-10
"UBC",1.37267404924905e-11,1.52229552061719e-08,2.30650836457151e-10
"TOMM7",1.63464378308e-11,1.81281995543572e-08,2.70570142602346e-10
"RBMX",1.95544534255197e-11,2.16858888489013e-08,3.18910130130902e-10
"CLIC1",2.07011954782148e-11,2.29576257853402e-08,3.32719214280293e-10
"MT-ND5",2.51123758075724e-11,2.78496247705978e-08,3.97851782437112e-10
"SVIP",2.82799481726684e-11,3.13624625234893e-08,4.41724824274497e-10
"CFL1",2.91225691971128e-11,3.22969292395981e-08,4.48568461661085e-10
"TTC3",2.99154279157024e-11,3.3176209558514e-08,4.54468624089233e-10
"AAK1",3.24003132641649e-11,3.59319474099588e-08,4.85566856891335e-10
"FOXP1",3.42898260612921e-11,3.80274171019729e-08,5.07032228026305e-10
"HLA-DPB1",4.01937953209346e-11,4.45749190109164e-08,5.865120922489e-10
"ZC3HAV1",4.9088986974498e-11,5.44396865547183e-08,7.07008916295043e-10
"RAC2",6.94507938349484e-11,7.70209303629578e-08,9.87447825166126e-10
"PSMA7",8.54972178038269e-11,9.4816414544444e-08,1.2002077790436e-09
"PABPC1",8.70360863375099e-11,9.65230197482985e-08,1.20653774685373e-09
"ST13",9.53738720353044e-11,1.05769624087153e-07,1.30579782823645e-09
"CD99-ENSG00000002586",1.10333706428058e-10,1.22360080428717e-07,1.49219610278923e-09
"BCL11B",1.1549499986252e-10,1.28083954847535e-07,1.54104427603475e-09
"SNHG9",1.16724724244291e-10,1.29447719186919e-07,1.54104427603475e-09
"CSDE1",1.3049343165307e-10,1.44717215703255e-07,1.70255547886182e-09
"CWF19L2",1.3936352468981e-10,1.54554148880999e-07,1.79714126605813e-09
"ARPC2",1.60733061950607e-10,1.78252965703223e-07,2.04888466325544e-09
"ARGLU1",1.65607564065495e-10,1.83658788548634e-07,2.08220148997405e-09
"TRAPPC1",1.67101832829297e-10,1.8531593260769e-07,2.08220148997405e-09
"TNRC6B",1.76848337906962e-10,1.96124806738821e-07,2.17845023189768e-09
"HSD17B11",1.78754707937501e-10,1.98238971102689e-07,2.17845023189768e-09
"ARL6IP5",1.87766669121383e-10,2.08233236055614e-07,2.26340473973493e-09
"HLA-DPA1",2.41073136640068e-10,2.67350108533835e-07,2.87473234982618e-09
"PTPRCAP",3.36599070285978e-10,3.7328836894715e-07,3.97115286113989e-09
"TAGLN2",3.62168264264402e-10,4.01644605069222e-07,4.22783794809707e-09
"CD3D",3.6835912267925e-10,4.08510267051288e-07,4.25531528178426e-09
"NDUFB1",4.78752713254336e-10,5.30936758999058e-07,5.47357483504184e-09
"HADHA",5.24578290860265e-10,5.81757324564034e-07,5.93629923024524e-09
"SEM1",5.82722754882206e-10,6.46239535164366e-07,6.52767207236733e-09
"EEF1A1",5.90586592257305e-10,6.54960530813352e-07,6.54960530813352e-09
"ITGB2",6.49987735760018e-10,7.2083639895786e-07,7.13699404908773e-09
"LDHA",9.77218468954905e-10,1.08373528207099e-06,1.06248557065783e-08
"PCBP2",1.02714284190332e-09,1.13910141167078e-06,1.10592370065124e-08
"EIF3E",1.10101929320696e-09,1.22103039616652e-06,1.16679325100488e-08
"MT-ND2",1.10471858751589e-09,1.22513291355512e-06,1.16679325100488e-08
"METAP2",1.39016435808688e-09,1.54169227311835e-06,1.45442667275316e-08
"MORF4L1",1.41249461308577e-09,1.56645652591212e-06,1.46397806160011e-08
"SRGN",1.57127144449165e-09,1.74254003194124e-06,1.61346299253818e-08
"EEF2",1.58915553478888e-09,1.76237348808087e-06,1.61685641108336e-08
"TCF7",2.11575907495668e-09,2.34637681412696e-06,2.13306983102451e-08
"HLA-C",2.16928876534097e-09,2.40574124076314e-06,2.16733445113796e-08
"S100A10",2.3428361445719e-09,2.59820528433024e-06,2.31982614672343e-08
"HNRNPM",2.52268337100305e-09,2.79765585844238e-06,2.47580164463927e-08
"FAM107B",2.92209699661616e-09,3.24060556924732e-06,2.8360827561986e-08
"RSL24D1",2.94093342617528e-09,3.26149516962839e-06,2.8360827561986e-08
"S100A6",3.02074875293621e-09,3.35001036700625e-06,2.88793997155711e-08
"TXN",3.09998698773221e-09,3.43788556939502e-06,2.93836373452566e-08
"EIF3H",3.51796828745802e-09,3.90142683079094e-06,3.3062939243991e-08
"HNRNPDL",3.58812860356391e-09,3.97923462135238e-06,3.34389463979192e-08
"NONO",4.76228767232605e-09,5.28137702860959e-06,4.40114752384132e-08
"PSMB8",5.70076174550756e-09,6.32214477576789e-06,5.2249130378247e-08
"EMP3",6.20068384018621e-09,6.87655837876651e-06,5.63652326128402e-08
"CD52",6.61156098895546e-09,7.3322211367516e-06,5.942166794853e-08
"CD53",6.64408189866341e-09,7.36828682561772e-06,5.942166794853e-08
"COX4I1",6.97551366042884e-09,7.73584464941558e-06,6.18867571953247e-08
"TSC22D3",7.05210784231609e-09,7.82078759712854e-06,6.20697428343535e-08
"PCNP",7.46609813050592e-09,8.27990282673106e-06,6.51878383566889e-08
"PIK3IP1",7.52393445415346e-09,8.34404330965618e-06,6.51878383566889e-08
"GZMM",7.62092206473029e-09,8.45160256978589e-06,6.55162989905883e-08
"NPM1",7.78477020795501e-09,8.6333101606221e-06,6.64100781586316e-08
"TMSB10",8.2257887918516e-09,9.12239977016343e-06,6.96366394668964e-08
"EIF1AX",8.33211780884008e-09,9.24031865000365e-06,7.00024140151792e-08
"FTL",9.41834714728625e-09,1.04449469863404e-05,7.85334359875222e-08
"GZMB",1.00294041012816e-08,1.11226091483213e-05,8.30045458829945e-08
"CST7",1.09150015662033e-08,1.21047367369195e-05,8.96647165697739e-08
"TES",1.18660069589049e-08,1.31594017174256e-05,9.67603067457764e-08
"ASH1L",1.24912857875666e-08,1.38528359384114e-05,1.01115590791324e-07
"COX7C",1.28882830757018e-08,1.42931059309533e-05,1.0357323138372e-07
"EEF1B2",1.32125238872351e-08,1.46526889909438e-05,1.05415028711826e-07
"MIEN1",1.40067501515515e-08,1.55334859180706e-05,1.10953470843362e-07
"BNIP2",1.51774457811577e-08,1.68317873713039e-05,1.19374378519886e-07
"COX5A",1.53159254094864e-08,1.69853612791204e-05,1.19615220275496e-07
"COX5B",1.57021925134338e-08,1.74137314973981e-05,1.21774346135651e-07
"MDM4",1.71150266826601e-08,1.898056459107e-05,1.31809476326875e-07
"PSMB9",1.73980924993227e-08,1.92944845817489e-05,1.33065410908613e-07
"CYBA",1.88161434662406e-08,2.08671031040608e-05,1.42925363726444e-07
"NOSIP",2.06600297058557e-08,2.2911972943794e-05,1.55863761522408e-07
"EIF3M",2.09884677343958e-08,2.3276210717445e-05,1.5727169403679e-07
"ATP6V0E1",2.17295509681236e-08,2.40980720236491e-05,1.61732027004356e-07
"PPIA",2.30351607983231e-08,2.55459933253403e-05,1.70306622168935e-07
"MATR3-ENSG00000015479",2.44579133095213e-08,2.71238258602591e-05,1.7962798582953e-07
"RHOA",3.06046163133625e-08,3.3940519491519e-05,2.23292891391572e-07
"CYTH1",3.36649435420343e-08,3.7334422388116e-05,2.44015832602065e-07
"COMMD6",3.78685714294482e-08,4.19962457152581e-05,2.72702894254923e-07
"SEC62",4.49388409917905e-08,4.98371746598957e-05,3.21530159096101e-07
"DCTN3",4.58391945387385e-08,5.0835666743461e-05,3.25869658611929e-07
"TRA2A",4.63942870494943e-08,5.14512643378892e-05,3.27715059477001e-07
"CHD2",4.70616121579581e-08,5.21913278831755e-05,3.30324860020098e-07
"IL32",4.97252545814169e-08,5.51453073307913e-05,3.46825832269128e-07
"HLA-DRB1",6.08891962786156e-08,6.75261186729847e-05,4.22038241706154e-07
"CORO1A",6.78285227524914e-08,7.5221831732513e-05,4.67216346164677e-07
"MT-CO1",7.59181813483634e-08,8.4193263115335e-05,5.19711500711944e-07
"IRF1-AS1",7.73017377645701e-08,8.57276271809083e-05,5.25554023099253e-07
"SON",7.77194407468689e-08,8.61908597882776e-05,5.25554023099253e-07
"BST2",9.39500684472069e-08,0.000104190625907952,6.31458338836076e-07
"S100A4",9.50102662446117e-08,0.000105366385265274,6.34737260634183e-07
"MYL12A",1.02617257876419e-07,0.000113802538984949,6.81452329251189e-07
"ANAPC16",1.29324404041221e-07,0.000143420764081714,8.53695024295918e-07
"CD44",1.47125864461194e-07,0.000163162583687464,9.65459075073751e-07
"FOS",1.50521837437004e-07,0.000166928717717638,9.81933633633162e-07
"YWHAQ",1.67580143456207e-07,0.000185846379092934,1.08682093036803e-06
"PDIA3",1.71649230458911e-07,0.000190358996578932,1.1067383522031e-06
"HNRNPD",1.91587359394991e-07,0.000212470381569045,1.22815249461876e-06
"CDC42SE1",1.94991142206685e-07,0.000216245176707213,1.24278837188054e-06
"SNRPB",2.08071084797354e-07,0.000230750833040266,1.31857618880152e-06
"NSD3",2.20593213894616e-07,0.000244637874209129,1.38998792164278e-06
"BAX",2.28508559224576e-07,0.000253415992180054,1.42708139672538e-06
"NDUFA12",2.29053641674588e-07,0.000254020488617118,1.42708139672538e-06
"CXCR4",2.71713483684444e-07,0.000301330253406048,1.6834092369053e-06
"MGAT4A",2.77728925784968e-07,0.000308001378695529,1.71111877053072e-06
"PPP1R2",2.84137819126509e-07,0.000315108841411298,1.74093282547679e-06
"GSTP1",2.97344298604509e-07,0.0003297548271524,1.81183970962857e-06
"ZNHIT1",3.2783694429813e-07,0.000363571171226626,1.98672771162091e-06
"UFM1",3.32811864625051e-07,0.000369088357869182,2.00591498841946e-06
"ANXA2R",3.71606505815762e-07,0.00041211161494968,2.22763035107935e-06
"CHURC1",3.78169098515288e-07,0.000419389530253454,2.2547824207175e-06
"ZFAS1",4.14136120563826e-07,0.000459276957705283,2.45602651179296e-06
"PPP1CA",4.2047881857359e-07,0.000466311009798112,2.48037771169208e-06
"C11orf58",4.29075311324128e-07,0.000475844520258458,2.50520952587604e-06
"BRWD1",4.29206320934578e-07,0.000475989809916447,2.50520952587604e-06
"MORF4L2",4.32756349797233e-07,0.000479926791925131,2.5127057168855e-06
"PIP4K2A",4.41554274112756e-07,0.000489683689991046,2.55043588537003e-06
"NAP1L1",4.57622898709726e-07,0.000507503794669086,2.62955334025433e-06
"HMGN3",4.75056070781865e-07,0.000526837182497089,2.7156555798819e-06
"LMAN2",4.85732606980305e-07,0.000538677461141158,2.75124180614215e-06
"TMA7",4.86242916144149e-07,0.000539243394003861,2.75124180614215e-06
"SLC38A1",4.95749212704862e-07,0.000549785876889692,2.79079125324717e-06
"UQCRB",5.13906384267681e-07,0.000569922180152858,2.87171967980478e-06
"CMPK1",5.15304072390578e-07,0.000571472216281151,2.87171967980478e-06
"ATP6V1G1",5.57633558078505e-07,0.000618415615909062,3.09207807954531e-06
"KRTCAP2",5.67729834674085e-07,0.00062961238665356,3.1323999335998e-06
"ANP32E",5.8392430003086e-07,0.000647572048734224,3.20496783105246e-06
"POLR2G",5.86662281067312e-07,0.000650608469703649,3.20496783105246e-06
"POMP",6.05792899119954e-07,0.000671824325124029,3.29325649570603e-06
"TPT1",6.18998192886153e-07,0.000686468995910744,3.34862924834509e-06
"EIF1",6.81717643548147e-07,0.000756024866694895,3.6700236247325e-06
"ENO1",6.88235510213831e-07,0.000763253180827139,3.68721343394753e-06
"TRAM1",7.35910439785813e-07,0.000816124677722466,3.92367633520416e-06
"DYNLL1",7.43332387676896e-07,0.000824355617933678,3.94428525327119e-06
"CCNI",7.96799998099954e-07,0.00088365119789285,4.20757306023987e-06
"TMED9",8.00539148521743e-07,0.000887797915710613,4.20757306023987e-06
"CSNK2B",8.07094834392634e-07,0.000895068171341431,4.22201967613883e-06
"SNHG32",8.12412847403458e-07,0.000900965847770435,4.22988660925087e-06
"COX14",8.63114456297447e-07,0.000957193932033869,4.47286884127976e-06
"GZMK",9.28908260231358e-07,0.00103015926059658,4.79143842137942e-06
"FAM133B",9.36114712168827e-07,0.00103815121579523,4.80625562868162e-06
"SAMD3",9.59555098081528e-07,0.00106414660377241,4.90390139987288e-06
"TMBIM6",9.65092307332945e-07,0.00107028736883224,4.9095750863864e-06
"CD8A",9.83554331371115e-07,0.00109076175349057,4.98064727621263e-06
"NEDD8",1.06680314301923e-06,0.00118308468560832,5.37765766185602e-06
"IFITM1",1.08269722364513e-06,0.00120071122102244,5.43308244806536e-06
"CD96",1.11413032391443e-06,0.0012355705292211,5.56563301450945e-06
"RIPOR2",1.16862863254896e-06,0.0012960091534968,5.81170023989595e-06
"SMIM27",1.18033285883582e-06,0.00130898914044893,5.84370151986128e-06
"ETS1",1.22942784976793e-06,0.00136343548539264,6.05971326841173e-06
"TOMM5",1.23520242168184e-06,0.00136983948564516,6.06123666214673e-06
"PNISR",1.26783088297316e-06,0.00140602444921723,6.19394030492173e-06
"PHPT1",1.41218676223003e-06,0.00156611511931311,6.8689259618996e-06
"YTHDC1",1.57622275099827e-06,0.00174803103085708,7.63332327885187e-06
"SAT1",1.62010719880575e-06,0.00179669888347558,7.81173427598077e-06
"RICTOR",1.68891741985006e-06,0.00187300941861372,8.10826588144467e-06
"ANKRD49",1.75726108705603e-06,0.00194880254554514,8.40001097217734e-06
"DDX3X",1.78336556107068e-06,0.00197775240722739,8.48820775634071e-06
"TUBA1B",1.86656376874694e-06,0.00207001921954036,8.84623598094171e-06
"PPP4C",1.91789945214061e-06,0.00212695049242393,9.05085315925078e-06
"CST3",2.05178960042161e-06,0.00227543466686757,9.64167231723547e-06
"VAMP8",2.22248567656607e-06,0.00246473661531177,1.0348002463638e-05
"HCST",2.22607108101893e-06,0.00246871282884999,1.0348002463638e-05
"SNHG8",2.23009250568934e-06,0.00247317258880948,1.0348002463638e-05
"IL2RG",2.32925311725724e-06,0.00258314170703828,1.07630904459928e-05
"TOMM20",2.35172801621313e-06,0.00260806636998036,1.08218521575949e-05
"PARK7",2.46771175831374e-06,0.00273669233996994,1.13086460329336e-05
"SLC25A6-ENSG00000169100",2.53948287486533e-06,0.00281628650822565,1.15896564124512e-05
"BRK1",2.74752647656571e-06,0.00304700686251137,1.24877330430794e-05
"EIF3D",2.77622598293872e-06,0.00307883461507904,1.25666718982818e-05
"CNOT7",3.10005234650388e-06,0.0034379580522728,1.39754392368813e-05
"OCIAD1",3.31091060645999e-06,0.00367179986256413,1.48655864881139e-05
"CBX3",3.61134610569393e-06,0.00400498283121457,1.61491243194136e-05
"VIM",3.67755973778953e-06,0.00407841374920859,1.63791716835686e-05
"RBM3",3.75331095206703e-06,0.00416242184584233,1.66496873833693e-05
"ATP5ME",3.95866691635436e-06,0.00439016161023699,1.74906837061235e-05
"BTF3",4.00983535271142e-06,0.00444690740615697,1.76464579609403e-05
"SMAP2",4.16365938183146e-06,0.00461749825445109,1.82509812428897e-05
"GZMA",4.33112181756928e-06,0.00480321409568433,1.89102917152926e-05
"ZFP36L1",4.66681676275685e-06,0.00517549978989735,2.02960776074406e-05
"OGA",4.77589762627645e-06,0.00529647046754058,2.06893377638304e-05
"ISG20",4.85696595928404e-06,0.005386375248846,2.0958658555821e-05
"KIF2A",4.99296571873507e-06,0.00553719898207719,2.14620115584387e-05
"PSMA3-AS1",5.12118764582348e-06,0.00567939709921824,2.19039874870887e-05
"LYZ",5.13529012321287e-06,0.00569503674664307,2.19039874870887e-05
"SYF2",5.16965744535042e-06,0.00573315010689361,2.19660923635771e-05
"CYTIP",5.36488991002123e-06,0.00594966291021354,2.27086370618837e-05
"LSM5",5.53804194225743e-06,0.00614168851396349,2.33524278097471e-05
"COX6A1",5.70355804794721e-06,0.00632524587517346,2.38885026966409e-05
"UBA52",5.70825357494124e-06,0.00633045321460984,2.38885026966409e-05
"U2SURP",5.84594339662787e-06,0.00648315122686031,2.43727489731591e-05
"COX7B",5.87010555687127e-06,0.00650994706257024,2.43818242043829e-05
"CDC42SE2",5.93405729142197e-06,0.00658086953618697,2.45279927721204e-05
"NDFIP1",5.94953115933308e-06,0.00659803005570039,2.45279927721204e-05
"TMEM123",6.37252674821646e-06,0.00706713216377206,2.61745635695261e-05
"BLOC1S1",6.52814706825436e-06,0.00723971509869408,2.66330800828532e-05
"ITGB1",6.53218916369349e-06,0.00724419778253607,2.66330800828532e-05
"YPEL3",6.73494994788273e-06,0.00746905949220194,2.7359192279128e-05
"HLA-F",6.99679478964781e-06,0.00775944542171942,2.83191438748884e-05
"TGOLN2",7.40485999019949e-06,0.00821198972913124,2.98350761311973e-05
"UBE2L3",7.42514067827814e-06,0.00823448101221045,2.98350761311973e-05
"BAZ1A",7.99392629720359e-06,0.00886526426359879,3.20045641285155e-05
"DYNLRB1",8.25576763501567e-06,0.00915564630723238,3.29339795224186e-05
"ATP5MJ",8.48921187807239e-06,0.00941453597278228,3.37438565332698e-05
"C12orf75",8.90650319497115e-06,0.00987731204322301,3.52761144400822e-05
"GPX4",8.99418421062493e-06,0.00997455028958305,3.54966202476265e-05
"PFN1",9.13685117159698e-06,0.0101327679493011,3.59318012386562e-05
"GUK1",9.36187468638562e-06,0.0103823190272016,3.66866396720906e-05
"CD3G",9.51851518918106e-06,0.0105560333448018,3.7169131495781e-05
"BIRC2",9.57080019016932e-06,0.0106140174108978,3.72421663540273e-05
"SMARCE1",9.92324336655179e-06,0.0110048768935059,3.8478590536734e-05
"H2AZ2",1.0258737051218e-05,0.0113769393898008,3.96409037972153e-05
"ANXA1",1.05954226146818e-05,0.0117503236796821,4.07997349988962e-05
"S100A11",1.16078302355257e-05,0.012873083731198,4.45435423224843e-05
"UXT",1.17784767751455e-05,0.0130623307436363,4.50425198056425e-05
"LSP1",1.22627596600127e-05,0.0135994004629541,4.67333349242409e-05
"OAZ1",1.236228703729e-05,0.0137097763243546,4.69512887820362e-05
"TNFAIP8",1.2477437543106e-05,0.0138374782353045,4.72268881751008e-05
"HNRNPU",1.29558402623197e-05,0.0143680268509125,4.88708396289542e-05
"CTSW",1.32202021365604e-05,0.0146612041694455,4.9698997184561e-05
"ANAPC11",1.41538247921818e-05,0.0156965916945296,5.30290259950325e-05
"CSNK1A1",1.42972224685843e-05,0.01585561971766,5.33859249752862e-05
"SNRPF",1.44228125112133e-05,0.0159948990749355,5.36741579695822e-05
"NCL",1.50071686234125e-05,0.0166429500033645,5.56620401450317e-05
"CAPZB",1.58221494625928e-05,0.0175467637540155,5.84892125133849e-05
"TCEA1",1.6112374331451e-05,0.0178686231335791,5.93641964570735e-05
"EEF1D",1.65911068998147e-05,0.0183995375518945,6.09256210327632e-05
"GADD45B",1.7375616924357e-05,0.0192695591691119,6.35959048485542e-05
"CD63",1.74933638028563e-05,0.0194001404573677,6.38162515044989e-05
"CLEC2B",1.92941939810448e-05,0.0213972611249786,7.01549545081267e-05
"FXYD5",1.95712589836094e-05,0.0217045262128228,7.09298242249113e-05
"PCSK7",1.96683615716974e-05,0.0218122129830124,7.10495536905942e-05
"RASGRP2",1.97905642078888e-05,0.0219477357065487,7.1258882164119e-05
"THUMPD3-AS1",2.03126889725582e-05,0.022526772070567,7.29021749856538e-05
"DNAJB1",2.08382589166123e-05,0.023109629138523,7.4547190769429e-05
"PRKCQ-AS1",2.39546520035967e-05,0.0265657090719887,8.54202864051085e-05
"PTGES3",2.41141778588217e-05,0.0267426232454333,8.57135360430555e-05
"TNFAIP3",2.69451132954699e-05,0.0298821306446761,9.54700659574318e-05
"SELL",2.93164036697861e-05,0.0325118916697928,0.000103541056273225
"ACTG1",2.98076323931934e-05,0.0330566643240514,0.000104887717573775
"YWHAB",2.99196426657098e-05,0.0331808837162722,0.000104887717573775
"PRKACB",3.00714730430672e-05,0.0333492636047616,0.000104887717573775
"DDX17",3.00760091870699e-05,0.0333542941884605,0.000104887717573775
"RNMT",3.17253873496533e-05,0.0351834545707655,0.000110292961036882
"MCUB",3.46259549009388e-05,0.0384001839851411,0.000120000574953566
"EPB41L4A-AS1",3.49343477876217e-05,0.0387421916964725,0.000120692185970319
"SF3B5",3.54973233750041e-05,0.0393665316228796,0.000122256309387825
"SHOC2",3.68436391005577e-05,0.0408595957625184,0.000126438825972562
"EAPP",3.69397471732282e-05,0.0409661796151101,0.000126438825972562
"RBBP4",4.25760167258166e-05,0.0472168025489306,0.000145282469381325
