"","p_value","bonferroni_pval","fdr"
"CSF3R",1.31134338254535e-17,2.57810109008416e-14,3.18284085195575e-16
"B2M",1.46063301223527e-17,2.87160450205454e-14,3.50195670982261e-16
"MT-ND4L",1.79102772770779e-17,3.52116051267351e-14,4.24236206346206e-16
"PABPN1",2.28680935760116e-17,4.49586719704389e-14,5.35222285362367e-16
"MT-CO1",2.46405994218486e-17,4.84434184633544e-14,5.69922570157111e-16
"NONO",3.10598309263045e-17,6.10636276011147e-14,7.10042181408311e-16
"COPS9",3.40400679614121e-17,6.69227736121362e-14,7.64097031927104e-16
"YPEL3",3.42016982754757e-17,6.72405388095851e-14,7.64097031927104e-16
"PSMA3-AS1",6.41368666661765e-17,1.26093079865703e-13,1.41677617826633e-15
"ZFP36L1",6.66166643870872e-17,1.30968362185013e-13,1.45520402427793e-15
"METAP2",8.3085705844049e-17,1.633464976894e-13,1.79501645812528e-15
"TNRC6B",9.19589428332752e-17,1.80791281610219e-13,1.96512262619803e-15
"NUDT3",9.33224980349498e-17,1.83472031136711e-13,1.97281753910442e-15
"EEF2",1.32712090966837e-16,2.60911970840801e-13,2.77565926426384e-15
"PABPC1",1.78076883433162e-16,3.50099152829597e-13,3.68525424031155e-15
"GRN",1.90635742868123e-16,3.74789870478731e-13,3.90406115082011e-15
"DECR1",2.18704998658728e-16,4.29974027363058e-13,4.43272193157792e-15
"EVI5",2.44934996012547e-16,4.81542202160668e-13,4.91369594041498e-15
"SREK1",2.57018848552078e-16,5.05299056253385e-13,5.10403087124632e-15
"NDUFAF8",3.24497790115688e-16,6.37962655367444e-13,6.37962655367444e-15
"PPP3CA",5.06449451527379e-16,9.95679621702828e-13,9.85821407626562e-15
"PSMB9",6.01384750504089e-16,1.18232241949104e-12,1.159139626952e-14
"FCGR1A",6.13110423487934e-16,1.20537509257728e-12,1.17026708017211e-14
"RBM3",7.11321009814319e-16,1.39845710529495e-12,1.34467029355284e-14
"STAT1",7.32796159338304e-16,1.44067724925911e-12,1.37207357072296e-14
"CDC42SE2",8.98809051137395e-16,1.76705859453612e-12,1.66703640993973e-14
"MT-CO2",1.01104684458505e-15,1.9877180964542e-12,1.85768046397589e-14
"ID2",1.53396192175966e-15,3.01576913817948e-12,2.79237883164767e-14
"CNIH4",1.82945813150891e-15,3.59671468654651e-12,3.29973824453809e-14
"DRAP1",1.86906178439191e-15,3.6745754681145e-12,3.34052315283136e-14
"IFI16",2.26368219075531e-15,4.45039918702493e-12,4.0093686369594e-14
"TIMP1",2.49752714334819e-15,4.91013836382254e-12,4.38405211055584e-14
"TRAPPC6A",3.24911120082673e-15,6.38775262082535e-12,5.6275917917644e-14
"BNIP2",3.26320175107397e-15,6.41545464261142e-12,5.6275917917644e-14
"DYNLRB1",3.53055269666257e-15,6.94106660163861e-12,6.0357100883814e-14
"MED13L",3.86516986213777e-15,7.59892394896286e-12,6.5507965077266e-14
"HNRNPH3",4.6817760261242e-15,9.20437166736018e-12,7.84317229871672e-14
"LDHA",4.70749914165093e-15,9.25494331248573e-12,7.84317229871672e-14
"MT-ATP6",5.58228108280606e-15,1.09747646087967e-11,9.22249126789639e-14
"KMT2E-AS1",6.03026194466255e-15,1.18554949832066e-11,9.87957915267214e-14
"C22orf39",6.62064158173512e-15,1.30161813496913e-11,1.07571746691663e-13
"SP100",6.80196737708605e-15,1.33726678633512e-11,1.09612031666813e-13
"ARPC3",1.05826018530544e-14,2.08053952431049e-11,1.69149554821991e-13
"RNMT",1.10439298678145e-14,2.17123661201233e-11,1.75099726775188e-13
"SFT2D2",1.46317325820021e-14,2.87659862562162e-11,2.3012789004973e-13
"ITGAE",1.69024904996602e-14,3.3230296322332e-11,2.63732510494699e-13
"PSME1",1.75781189352969e-14,3.45585818267937e-11,2.72114817533808e-13
"IL32",1.80559097545474e-14,3.54979185774402e-11,2.77196112639952e-13
"GNG2",1.81883512362939e-14,3.57582985305538e-11,2.77196112639952e-13
"ZSCAN16-AS1",2.88302494376506e-14,5.66802703944212e-11,4.36002079957086e-13
"STK4",3.00667433880802e-14,5.91112175009657e-11,4.51230667946303e-13
"CMTM6",3.29962194657906e-14,6.48705674697442e-11,4.91443692952608e-13
"APEX1",3.43699102490635e-14,6.75712435496589e-11,5.0805446277939e-13
"PYCARD",4.08861709283013e-14,8.03822120450403e-11,5.99867254067465e-13
"BRD2",4.60636950167487e-14,9.05612244029278e-11,6.70823884466132e-13
"NPM1",6.80267647512209e-14,1.337406195009e-10,9.83386908094855e-13
"S100A6",7.31055081882385e-14,1.43725429098077e-10,1.04909072334363e-12
"SP3",8.10605510845935e-14,1.59365043432311e-10,1.1548191553066e-12
"CDC42EP3",9.71803315626063e-14,1.91056531852084e-10,1.37450742339629e-12
"GLRX",1.03689414038437e-13,2.03853387999568e-10,1.45609562856834e-12
"TMA7",1.07565758159677e-13,2.11474280541925e-10,1.49249550064794e-12
"MYL12A",1.07799776750767e-13,2.11934361092007e-10,1.49249550064794e-12
"C12orf57",1.09552851803539e-13,2.15380906645757e-10,1.50616018633396e-12
"GSTO1",1.37449380008324e-13,2.70225481096366e-10,1.87656584094699e-12
"PCF11",1.42401896441212e-13,2.79962128403423e-10,1.93077329933395e-12
"FBL",1.48529105036211e-13,2.92008220501191e-10,2.00005630480268e-12
"ATM",1.70301078081031e-13,3.34811919507306e-10,2.27763210549188e-12
"HMGB1",2.08107933019772e-13,4.09140196316872e-10,2.76446078592481e-12
"TANK",2.2259625987153e-13,4.37624246907429e-10,2.93707548260019e-12
"CLTC",2.36068916785829e-13,4.64111490400939e-10,3.09407660267293e-12
"MEF2C",2.67189542478293e-13,5.25294640512324e-10,3.478772453724e-12
"CRTAP",2.756444947164e-13,5.41917076612442e-10,3.56524392508186e-12
"MATR3-ENSG00000015479",2.96444686294484e-13,5.82810253254956e-10,3.80921734153566e-12
"IL10RA",3.65094597689885e-13,7.17775979058313e-10,4.66088298089814e-12
"ANKRD44",3.74142007402483e-13,7.35563186553281e-10,4.74556894550504e-12
"PSMB8",4.53627506656989e-13,8.91831678087641e-10,5.71686973133103e-12
"SNX2",5.31474016270468e-13,1.04487791598774e-09,6.65527335024038e-12
"KMT2C",5.49185572442743e-13,1.07969883542243e-09,6.83353693305337e-12
"THUMPD1",5.66799564266549e-13,1.11432794334804e-09,7.0083518449562e-12
"RAB8A",7.05721123198506e-13,1.38744772820826e-09,8.67154830130164e-12
