"","p_value","bonferroni_pval","fdr"
"ISG15",2.57666563530064e-65,5.06314797336576e-62,5.06314797336576e-62
"IFI6",2.18300536687363e-57,4.28960554590669e-54,2.14480277295335e-54
"MT2A",1.09445337547599e-41,2.15060088281032e-38,7.16866960936772e-39
"IFITM3",3.69285084251605e-41,7.25645190554403e-38,1.81411297638601e-38
"CHMP5",1.12084669319035e-36,2.20246375211905e-33,4.40492750423809e-34
"LY6E",4.23933672020881e-34,8.33029665521031e-31,1.38838277586839e-31
"ANXA2",2.73497472151041e-33,5.37422532776795e-30,7.67746475395421e-31
"SP110",1.77002619390394e-32,3.47810147102123e-29,4.34762683877654e-30
"HNRNPH1",1.50933572328987e-31,2.96584469626459e-28,3.29538299584955e-29
"GNLY",1.71080798242939e-29,3.36173768547376e-26,3.36173768547375e-27
"TYMP",2.36226503568458e-27,4.6418507951202e-24,4.21986435920018e-25
"ID1",4.66142134255153e-26,9.15969293811376e-23,7.63307744842813e-24
"TNFSF13B",1.2389860846076e-24,2.43460765625393e-21,1.87277512019533e-22
"MYL12B",1.40998451718999e-23,2.77061957627834e-20,1.86745024369325e-21
"MIF",1.42553453717042e-23,2.80117536553988e-20,1.86745024369325e-21
"PSMA7",2.60771151294929e-23,5.12415312294536e-20,3.20259570184085e-21
"BLVRB",9.32610609518216e-23,1.83257984770329e-19,1.07798814570782e-20
"S100A9",1.55320118576408e-22,3.05204033002642e-19,1.69557796112579e-20
"BST2",3.78838098379929e-22,7.4441686331656e-19,3.91798349113979e-20
"MT-ND3",6.83813578850944e-22,1.34369368244211e-18,6.71846841221053e-20
"EEF1A1",2.17476081628299e-21,4.27340500399607e-18,2.03495476380765e-19
"CREG1",7.00079549022413e-21,1.37565631382904e-17,6.25298324467746e-19
"PHF11",9.41452506036276e-21,1.84995417436128e-17,8.04327901896209e-19
"CD3D",1.23581405603994e-20,2.42837462011848e-17,1.0118227583827e-18
"UBE2L6",1.42110066782444e-20,2.79246281227503e-17,1.11698512491001e-18
"HLA-C",2.1037918604578e-20,4.13395100579957e-17,1.58998115607676e-18
"B2M",2.72462156675e-20,5.35388137866376e-17,1.98291902913472e-18
