"","p_value","bonferroni_pval","fdr"
"EEF1B2",5.98959038990102e-08,7.079695840863e-05,5.80302937775656e-07
"TRAPPC1",7.837530064991e-08,9.26396053681936e-05,7.52512168446837e-07
"PPIA",7.89437469436614e-08,9.33115088874078e-05,7.52512168446837e-07
"MGAT4A",8.27765949563364e-08,9.78419352383896e-05,7.82735481907116e-07
"PCBP2",8.74412704999932e-08,0.000103355581730992,8.20282394690412e-07
"LBH",8.8554331052959e-08,0.000104671219304598,8.2418282917006e-07
"ZC3HAV1",9.2511597006845e-08,0.000109348707662091,8.54286778610085e-07
"DUSP2",9.88256573600906e-08,0.000116811926999627,9.05518813950597e-07
"CELF2",1.25753675707153e-07,0.000148640844685855,1.14339111296811e-06
"MT-CYB",1.34306999594197e-07,0.000158750873520341,1.20504513428787e-06
"PABPC1",1.34573568296108e-07,0.000159065957725999,1.20504513428787e-06
"SRSF6",1.39152833123116e-07,0.000164478648751523,1.23017691053327e-06
"NOSIP",1.39554039923722e-07,0.000164952875189839,1.23017691053327e-06
"ZFP36",1.40502439020297e-07,0.000166073882921991,1.23017691053327e-06
"SEC62",1.53218410492976e-07,0.000181104161202697,1.33006924906023e-06
"ANKRD44",1.54162002640653e-07,0.000182219487121252,1.33006924906023e-06
"YWHAB",1.66892929003794e-07,0.000197267442082485,1.42947421798902e-06
"PHPT1",1.68975796006101e-07,0.000199729390879211,1.43690209265619e-06
"COX7B",1.77582059494448e-07,0.000209901994322438,1.49929995944598e-06
"SPOCK2",1.8189626747186e-07,0.000215001388151738,1.52483254008325e-06
"ARPC1B",1.97700537443231e-07,0.000233682035257899,1.64564813561901e-06
"MT-ND4",2.03966169727129e-07,0.000241088012617467,1.6859301581641e-06
"SP110",2.10337205707725e-07,0.000248618577146531,1.72651789685091e-06
"ARID5B",2.55870718274276e-07,0.000302439189000195,2.08578751034617e-06
"TMBIM6",2.58625629834923e-07,0.000305695494464879,2.09380475660876e-06
"SVIP",3.02668219486651e-07,0.000357753835433221,2.43369956077021e-06
"EIF3D",3.34750814089865e-07,0.00039567546225422,2.67348285306906e-06
"LEF1",3.43695419149389e-07,0.000406247985434578,2.72649654654079e-06
"TRMT112",4.13656073853797e-07,0.000488941479295188,3.25960986196792e-06
"AAK1",4.27934429231784e-07,0.000505818495351968,3.34979135994681e-06
"TXK",4.60754939421552e-07,0.000544612338396274,3.5829759105018e-06
"GYPC",4.6462447470358e-07,0.000549186129099631,3.5894518241806e-06
"PLAAT4",5.0644697137774e-07,0.000598620320168489,3.88714493615902e-06
"RBL2",5.22018604443053e-07,0.000617025990451689,3.9808128416238e-06
"RICTOR",5.35468051992457e-07,0.000632923237455084,4.05720024009669e-06
"PPP1R15A",5.46026883014077e-07,0.000645403775722639,4.11085207466649e-06
"PSMB8",5.51462986422126e-07,0.000651829249950952,4.12550158196805e-06
"RBMX",5.98319229892883e-07,0.000707213329733388,4.44788257693955e-06
"EIF2A",6.18067090823871e-07,0.000730555301353815,4.56597063346134e-06
"DUSP1",6.28777987197329e-07,0.000743215580867242,4.61260735192267e-06
"SET",6.32184763969097e-07,0.000747242391011473,4.61260735192267e-06
"BTG1",6.38817429410015e-07,0.000755082201562637,4.622885272984e-06
"UXT",6.41415553950402e-07,0.000758153184769376,4.622885272984e-06
"MDM4",6.59905240340954e-07,0.000780007994083008,4.72732117626065e-06
"ZFAND1",6.86657535569363e-07,0.000811629207042987,4.88933257254811e-06
"HLA-C",6.9974507872701e-07,0.000827098683055325,4.95268672488219e-06
"CD99-ENSG00000002586",7.31246113893672e-07,0.00086433290662232,5.14483872989476e-06
"ASH1L",7.79049470912925e-07,0.000920836474619077,5.44873653620755e-06
"LAPTM5",7.95624678389283e-07,0.000940428369856132,5.53193158738901e-06
"CMPK1",8.08641201392044e-07,0.000955813900045395,5.5895549710257e-06
"DDX21",9.04695387748046e-07,0.00106934994831819,6.21715086231506e-06
"MT-ATP6",9.65779171879872e-07,0.00114155098116201,6.5985605847515e-06
"SUB1",9.91075567046698e-07,0.0011714513202492,6.73247885200688e-06
"CYBA",1.08409809559466e-06,0.00128140394899289,7.32230827995935e-06
"ANKRD49",1.32578538459187e-06,0.00156707832458759,8.90385411697494e-06
"MATR3-ENSG00000015479",1.33712940120611e-06,0.00158048695222562,8.92930481483401e-06
"SSR4",1.37898930714554e-06,0.00162996536104603,9.15710876992154e-06
"HLA-F",1.39444074722057e-06,0.00164822896321471,9.20798303471904e-06
"CCNI",1.42241120410874e-06,0.00168129004325653,9.34050024031407e-06
"GUK1",1.5945107565641e-06,0.00188471171425876,1.04127719019821e-05
"RGS10",1.70541484947711e-06,0.00201580035208194,1.10758261103403e-05
"HSPE1",1.82856750512189e-06,0.00216136679105408,1.18040277267729e-05
"PRMT2",1.8375136224418e-06,0.00217194110172621,1.18040277267729e-05
"CXCR4",1.8484196435518e-06,0.00218483201867822,1.18099028036661e-05
"PSMA3-AS1",2.2274360607107e-06,0.00263282942376005,1.41549969019357e-05
"NEDD8",2.2818925988771e-06,0.00269719705187273,1.44235136463782e-05
"TUBA1A",2.31724754000405e-06,0.00273898659228478,1.45690776185361e-05
"COX7C",2.43007621199971e-06,0.00287235008258366,1.51976194845696e-05
"MORF4L1",2.48282367709206e-06,0.00293469758632281,1.544577677012e-05
"MIF",2.71328009924461e-06,0.00320709707730713,1.67910841743829e-05
"COX6A1",2.88594507918379e-06,0.00341118708359524,1.77665993937252e-05
"EIF3M",2.94201086119857e-06,0.00347745683793671,1.80179110773923e-05
"HSD17B11",3.07708409780146e-06,0.00363711340360133,1.87480072350584e-05
"TYROBP",3.15083852918106e-06,0.00372429114149202,1.90989289307283e-05
"SNHG25",3.70645653388641e-06,0.00438103162305374,2.23522021584374e-05
"FTH1",3.93476990664482e-06,0.00465089802965418,2.36086194398689e-05
"ANXA2R",4.05425005651443e-06,0.00479212356680006,2.4202644276768e-05
"FOS",4.46293138338445e-06,0.00527518489516042,2.65084668098514e-05
"LEPROTL1",4.83068352078682e-06,0.00570986792157002,2.85493396078501e-05
"NSD3",4.88797511372397e-06,0.00577758658442173,2.87442118627947e-05
"TTC39C",4.97001781203029e-06,0.00587456105381981,2.90819854149495e-05
"NKG7",5.21050805357418e-06,0.00615882051932469,3.03390173365748e-05
"S100A11",5.45465990771243e-06,0.0064474080109161,3.16049412299809e-05
"NAE1",5.82975002263279e-06,0.00689076452675196,3.3613485496351e-05
"PTPRCAP",6.54894846669789e-06,0.00774085708763691,3.75769761535772e-05
"LGALS1",6.71806928695811e-06,0.00794075789718448,3.83611492617608e-05
"NDUFB1",6.98644185949105e-06,0.00825797427791842,3.97017994130693e-05
"HMGN2",7.7765506497889e-06,0.00919188286805049,4.39803008040693e-05
"ANXA1",8.75381951823408e-06,0.0103470146705527,4.92714984312032e-05
"NDFIP1",9.18661436583909e-06,0.0108585781804218,5.11239401908565e-05
"HSPA8",9.19960519383021e-06,0.0108739333391073,5.11239401908565e-05
"FTL",9.21268972982439e-06,0.0108893992606524,5.11239401908565e-05
"PIP4K2A",9.61105532385586e-06,0.0113602673927976,5.30853616485871e-05
"TC2N",1.01156992489372e-05,0.0119567565122438,5.56128209871804e-05
"CD53",1.05389271399238e-05,0.0124570118793899,5.76713512934717e-05
"ARGLU1",1.10333369197635e-05,0.0130414042391605,5.98740959905155e-05
"NT5C3A",1.10729275338146e-05,0.0130882003449688,5.98740959905155e-05
"TMC6",1.10934238764153e-05,0.0131124270219229,5.98740959905155e-05
"MT-ND6",1.16918920870687e-05,0.0138198164469153,6.28173474859784e-05
"EIF3H",1.18438674128025e-05,0.0139994512819326,6.33459334024099e-05
"SSR1",1.24609300532875e-05,0.0147288193229858,6.63460329864227e-05
"SYF2",1.26572776662258e-05,0.0149609022014789,6.70892475402639e-05
"TUT4",1.38422357413651e-05,0.0163615226462935,7.30425118138104e-05
"VAMP2",1.39344571643114e-05,0.0164705283682161,7.32023483031824e-05
"METAP2",1.42462073542751e-05,0.0168390170927532,7.45089251891733e-05
"SAMHD1",1.44983288360604e-05,0.0171370246842234,7.54935008115569e-05
"IFITM3",1.46308927623147e-05,0.0172937152450559,7.58496282677892e-05
"EIF1AX",1.53115386544706e-05,0.0180982386895842,7.90316099981844e-05
"PNISR",1.5777500415856e-05,0.0186490054915418,8.10826325719209e-05
"EAPP",1.69806676363273e-05,0.0200711491461389,8.68880915417269e-05
"PABPN1",1.70543200699689e-05,0.0201582063227032,8.68888203564793e-05
"FXYD5",1.91593450531151e-05,0.022646345852782,9.71946173939141e-05
"DDX24",1.94040261323205e-05,0.0229355588884028,9.80152089247985e-05
"RCAN3",1.98920175078466e-05,0.0235123646942746,0.000100052615720318
"EIF3F",2.04733826702071e-05,0.0241995383161848,0.000102540416594003
"TOB1",2.12069481161292e-05,0.0250666126732647,0.000105766298199429
"COMMD6",2.22306639538017e-05,0.0262766447933937,0.000110406070560478
"THUMPD3-AS1",2.27188386179733e-05,0.0268536672464445,0.000112358440361692
"TPI1",2.51085961911491e-05,0.0296783606979383,0.00012365983624141
"CCNG1",2.72127854809364e-05,0.0321655124384669,0.000133466856591149
"CSTB",2.73728382004142e-05,0.0323546947528895,0.000133697085755742
"ALDOA",2.80927294786022e-05,0.0332056062437078,0.000136648585365053
"PCNP",2.92262517778231e-05,0.0345454296013869,0.000141579629513881
"U2SURP",2.97558029471902e-05,0.0351713590835788,0.000143556567688077
"ARHGEF1",2.99459561486898e-05,0.0353961201677514,0.000143886667348583
"ACTR2",3.06536230311267e-05,0.0362325824227917,0.000146690617096323
"DDX17",3.16393732857908e-05,0.0373977392238048,0.000150797335579858
"RASGRP2",3.27417897252524e-05,0.0387007954552483,0.000155424881346379
"NDUFS6",3.38386072254959e-05,0.0399972337405362,0.000159988934962145
"UQCR10",3.72608708590068e-05,0.044042349355346,0.000175467527312135
"CDC42SE2",3.82270479444911e-05,0.0451843706703885,0.000179303058215827
"LCP2",4.13272943048003e-05,0.0488488618682739,0.000193078505408197
"N4BP2L2",4.18321298198561e-05,0.04944557744707,0.00019466762774437
