"","p_value","bonferroni_pval","fdr"
"ISG15",6.69289554995568e-82,7.91100254004761e-79,7.91100254004761e-79
"IFI6",1.83051876440577e-58,2.16367317952762e-55,1.08183658976381e-55
"GNLY",9.21247730450895e-39,1.08891481739296e-35,3.62971605797653e-36
"LDHA",9.27931458720617e-28,1.09681498420777e-24,2.74203746051942e-25
"COX5A",4.23834570682716e-23,5.0097246254697e-20,1.00194492509394e-20
"FOXP1",1.03650616144375e-22,1.22515028282651e-19,2.04191713804419e-20
"ARPC3",1.55082370884441e-22,1.83307362385409e-19,2.61867660550585e-20
"HSP90AA1",1.38907610801003e-20,1.64188795966786e-17,2.05235994958482e-18
"GAPDH",3.87705739707478e-20,4.58268184334239e-17,5.09186871482488e-18
"MT2A",2.277505574948e-19,2.69201158958854e-16,2.69201158958854e-17
"GSTK1",1.08151432599346e-18,1.27834993332427e-15,1.16213630302207e-16
"PSME1",1.3379842455307e-18,1.58149737821729e-15,1.31791448184774e-16
"PSME2",1.98309713335191e-18,2.34402081162196e-15,1.80309293201689e-16
"CYCS",2.71299421169185e-17,3.20675915821976e-14,2.29054225587126e-15
"HLA-A",3.53957446179874e-17,4.18377701384611e-14,2.78918467589741e-15
"TIMP1",4.00216927068657e-17,4.73056407795152e-14,2.9566025487197e-15
"ARRDC3",5.7032970713427e-17,6.74129713832707e-14,3.96546890489828e-15
"CALM1",7.04814465503925e-17,8.3309069822564e-14,4.62828165680911e-15
"LY6E",1.75229135950759e-16,2.07120838693797e-13,1.09010967733577e-14
"UBB",3.75302472715997e-16,4.43607522750308e-13,2.21803761375154e-14
"SH3BGRL3",1.30282589748843e-15,1.53994021083133e-12,7.33304862300633e-14
"LTB",2.38032327890178e-15,2.8135421156619e-12,1.27888277984632e-13
"CLIC1",3.8092478941543e-15,4.50253101089038e-12,1.95762217864799e-13
"EIF3E",6.19620276831903e-15,7.3239116721531e-12,3.05162986339712e-13
"BCL11B",8.75366521521767e-15,1.03468322843873e-11,4.13873291375492e-13
"ARL4C",1.29794770828715e-14,1.53417419119541e-11,5.90066996613621e-13
"PSMB9",1.70173020654903e-14,2.01144510414095e-11,7.44979668200353e-13
"HNRNPA1",1.78790345243057e-14,2.11330188077294e-11,7.5475067170462e-13
"CARD16",1.9700386634906e-14,2.32858570024589e-11,8.02960586291685e-13
"COX4I1",2.79976026183479e-14,3.30931662948872e-11,1.10310554316291e-12
"CD69",4.4385993845826e-14,5.24642447257663e-11,1.69239499115375e-12
"CIB1",5.2078045490337e-14,6.15562497695783e-11,1.92363280529932e-12
"ATM",6.82029377856521e-14,8.06158724626407e-11,2.44290522614063e-12
"SEC61B",7.0405415246261e-14,8.32192008210804e-11,2.44762355356119e-12
"ALOX5AP",8.82819516856905e-14,1.04349266892486e-10,2.9814076254996e-12
"TXN",1.02346386390183e-13,1.20973428713196e-10,3.360373019811e-12
"S100A4",1.09436777992884e-13,1.29354271587589e-10,3.44439077661526e-12
"NPM1",1.10733375221134e-13,1.3088684951138e-10,3.44439077661526e-12
"PSMA7",1.31962421061332e-13,1.55979581694495e-10,3.999476453705e-12
"EIF3L",2.2548358094742e-13,2.66521592679851e-10,6.66303981699627e-12
"KLF6",3.60108962521097e-13,4.25648793699937e-10,1.03816778951204e-11
"EEF1A1",8.38233561199548e-13,9.90792069337865e-10,2.35902873651873e-11
"IFITM2",9.09458786517532e-13,1.07498028566372e-09,2.49995415270633e-11
"MYL12B",9.91084731363503e-13,1.17146215247166e-09,2.66241398289014e-11
"ST13",1.03841482439859e-12,1.22740632243913e-09,2.72756960542029e-11
"IL6ST",1.3358924319674e-12,1.57902485458547e-09,3.43266272735972e-11
"CAMK4",1.68874269514012e-12,1.99609386565563e-09,4.24700822479921e-11
"S100A10",1.9963281219445e-12,2.3596598401384e-09,4.91595800028834e-11
"FCMR",3.92746525336425e-12,4.64226392947654e-09,9.47400801933988e-11
"VIM",4.30233605433526e-12,5.08536121622428e-09,1.01707224324486e-10
"EIF2S3",6.44388831143096e-12,7.6166759841114e-09,1.49346587923753e-10
"TMSB4X",8.59076948915981e-12,1.01542895361869e-08,1.95274798772825e-10
"PFDN5",1.12956965605477e-11,1.33515133345674e-08,2.51915345935235e-10
"CYTH1",1.72643495027741e-11,2.0406461112279e-08,3.77897428005166e-10
"CHCHD2",1.89068647817845e-11,2.23479141720692e-08,4.0632571221944e-10
"UQCRB",2.02592281415821e-11,2.394640766335e-08,4.27614422559821e-10
"TTC19",2.2363947095378e-11,2.64341854667369e-08,4.63757639767313e-10
"SRGN",3.69038018974521e-11,4.36202938427884e-08,7.52074031772214e-10
"SAT1",5.54123995617516e-11,6.54974562819904e-08,1.11012637766085e-09
"PPIB",6.87274433216311e-11,8.1235838006168e-08,1.34504111741143e-09
"TATDN1",6.94141355009285e-11,8.20475081620975e-08,1.34504111741143e-09
"RSL1D1",8.73673812836725e-11,1.03268244677301e-07,1.66561684963388e-09
"HADHA",9.57742445949864e-11,1.13205157111274e-07,1.79690725573451e-09
"MYL12A",1.08453729403215e-10,1.281923081546e-07,2.00300481491562e-09
"SNHG9",1.82375101222756e-10,2.15567369645298e-07,3.31642107146612e-09
"DYNLRB1",1.9787256476878e-10,2.33885371556698e-07,3.54371775085906e-09
"MT-ND3",2.03130907730442e-10,2.40100732937383e-07,3.58359302891616e-09
"TOMM7",2.20711414093299e-10,2.60880891458279e-07,3.83648369791587e-09
"S100A6",2.85322214443837e-10,3.37250857472616e-07,4.88769358655965e-09
"LINC00861",4.16617520231289e-10,4.92441908913383e-07,7.03488441304833e-09
"MT-ND4L",6.06459135332394e-10,7.1683469796289e-07,1.009626335159e-08
"DRAP1",7.1902001456348e-10,8.49881657214034e-07,1.18039119057505e-08
"PLP2",8.29556920456005e-10,9.80536279978998e-07,1.34320038353287e-08
"CHD3",8.66625173018116e-10,1.02435095450741e-06,1.38425804663164e-08
"CIRBP",1.43547466083499e-09,1.69673104910695e-06,2.26230806547594e-08
"PPP2R5C",1.49164645999506e-09,1.76312611571416e-06,2.31990278383442e-08
"BST2",1.71636039812746e-09,2.02873799058665e-06,2.63472466309955e-08
"B2M",1.78585687715532e-09,2.11088282879759e-06,2.70626003691998e-08
"ISG20",1.83333052397312e-09,2.16699667933623e-06,2.74303377131168e-08
"HNRNPH1",2.04375670231152e-09,2.41572042213222e-06,3.01965052766528e-08
"MT-CO2",2.26345079471777e-09,2.67539883935641e-06,3.30296153006964e-08
"CCR7",2.42191263646995e-09,2.86270073630748e-06,3.49109845891156e-08
"EMP3",2.51298436735929e-09,2.97034752221868e-06,3.57873195448033e-08
"CSDE1",2.6812228689977e-09,3.16920543115529e-06,3.7728636085182e-08
"ODF2L",3.41653685953622e-09,4.03834656797181e-06,4.75099596231978e-08
"CHMP3",3.89266473493198e-09,4.6011297166896e-06,5.35015083336e-08
"SP100",4.79215913838881e-09,5.66433210157558e-06,6.48838280065654e-08
"ENO1",4.83060648441435e-09,5.70977686457776e-06,6.48838280065654e-08
"RAC2",5.13875775563233e-09,6.07401166715741e-06,6.82473221028922e-08
"TCF7",5.36647434570474e-09,6.343172676623e-06,7.04796964069222e-08
"PIK3IP1",6.12988326729245e-09,7.24552202193968e-06,7.96211211202162e-08
"IL2RG",6.67332226292231e-09,7.88786691477417e-06,8.5737683856241e-08
"IKZF1",7.1231713595921e-09,8.41958854703786e-06,9.05332101832028e-08
"EEF2",7.23974723573536e-09,8.5573812326392e-06,9.10359705599915e-08
"IL32",7.36553827925988e-09,8.70606624608517e-06,9.16428025903702e-08
"NOP10",7.85019790616692e-09,9.27893392508929e-06,9.66555617196802e-08
"HLA-DRA",9.69785868916655e-09,1.14628689705949e-05,1.18173906913349e-07
"UBC",1.01864532846797e-08,1.20403877824914e-05,1.22861099821341e-07
"NCF1",1.09664869107811e-08,1.29623875285432e-05,1.30933207359022e-07
"ATF7IP2",1.13621548643459e-08,1.34300670496569e-05,1.34300670496569e-07
"CHMP2A",1.2819124883773e-08,1.51522056126197e-05,1.5002183774871e-07
"CAST",1.47730167620503e-08,1.74617058127434e-05,1.71193194242582e-07
"IFI16",1.51612798458632e-08,1.79206327778102e-05,1.73986725998158e-07
"TNRC6B",1.59090866078524e-08,1.88045403704816e-05,1.80812888177708e-07
"EZR",2.47069053827381e-08,2.92035621623964e-05,2.78129163451395e-07
"TTC3",2.50429303391994e-08,2.96007436609337e-05,2.79252298688053e-07
"EIF4B",2.77078429775852e-08,3.27506703995057e-05,3.06081031771082e-07
"VAMP8",2.85044385238944e-08,3.36922463352432e-05,3.11965243844844e-07
"DYNLL1",2.89391131571889e-08,3.42060317517973e-05,3.1381680506236e-07
"MT-CO3",2.95131911842049e-08,3.48845919797301e-05,3.17132654361183e-07
"CFL1",3.04185765306812e-08,3.59547574592652e-05,3.23916733867254e-07
"SATB1",3.16816358555574e-08,3.74476935812689e-05,3.34354406975615e-07
"RBM3",3.4349732048889e-08,4.06013832817868e-05,3.59304276829972e-07
"FBL",3.47276665307082e-08,4.10481018392971e-05,3.60071068765764e-07
"TAGLN2",3.59769908170523e-08,4.25248031457558e-05,3.69780896919616e-07
"JUN",3.80349772958691e-08,4.49573431637172e-05,3.87563303135493e-07
"ATP6V0E1",4.62071793780762e-08,5.4616886024886e-05,4.63998698805484e-07
"MYL6",4.63213591024087e-08,5.47518464590471e-05,4.63998698805484e-07
"HNRNPDL",4.73842582344988e-08,5.60081932331776e-05,4.70657085993089e-07
"CDC42SE1",5.13266309977819e-08,6.06680778393782e-05,5.05567315328151e-07
"OGA",5.80417858473469e-08,6.8605390871564e-05,5.66986701417884e-07
