"","p_value","bonferroni_pval","fdr"
"ISG15",3.54592005971599e-96,4.1912775105843e-93,4.1912775105843e-93
"IFI6",2.81940235058266e-50,3.3325335783887e-47,1.66626678919435e-47
"GNLY",1.29067634034227e-34,1.52557943428456e-31,5.08526478094855e-32
"ARPC3",1.26287894190655e-23,1.49272290933354e-20,3.73180727333386e-21
"FOXP1",2.58275301974069e-23,3.0528140693335e-20,6.105628138667e-21
"TIMP1",1.34658673297134e-21,1.59166551837213e-18,2.65277586395354e-19
"MT2A",8.76474072964285e-21,1.03599235424379e-17,1.32871641017998e-18
"GSTK1",9.72945914329714e-21,1.15002207073772e-17,1.32871641017998e-18
"GAPDH",1.01171300267511e-20,1.19584476916198e-17,1.32871641017998e-18
"LDHA",4.21278262703408e-20,4.97950906515428e-17,4.97950906515428e-18
"PSME2",4.42248029808252e-19,5.22737171233354e-16,4.7521561021214e-17
"HSP90AA1",1.00082034804158e-18,1.18296965138515e-15,9.8580804282096e-17
"PSME1",2.70240708908951e-18,3.1942451793038e-15,2.45711167638754e-16
"HLA-A",8.23897988995115e-18,9.73847422992226e-15,6.95605302137304e-16
"LY6E",1.74776053272763e-17,2.06585294968406e-14,1.37723529978938e-15
"CALM1",2.41659197319888e-17,2.85641171232108e-14,1.78525732020067e-15
"UBB",3.11583891796211e-17,3.68292160103121e-14,2.16642447119483e-15
"TXN",5.71652271682307e-17,6.75692985128487e-14,3.75384991738048e-15
"CYCS",6.49605238825601e-17,7.6783339229186e-14,4.04122838048347e-15
"SH3BGRL3",3.76214141997439e-16,4.44685115840973e-13,2.22342557920486e-14
"COX5A",7.40804090215607e-16,8.75630434634848e-13,4.16966873635642e-14
"CARD16",1.22560336324099e-15,1.44866317535085e-12,6.58483261523116e-14
"LTB",1.39548240070706e-15,1.64946019763574e-12,7.17156607667714e-14
"ARRDC3",3.00044993545798e-15,3.54653182371133e-12,1.47772159321305e-13
"ALOX5AP",5.02202252953512e-15,5.93603062991051e-12,2.3744122519642e-13
"TMSB4X",7.6800880494497e-15,9.07786407444954e-12,3.49148618248059e-13
"SEC61B",8.0495943830949e-15,9.51462056081817e-12,3.52393354104377e-13
"ARL4C",2.58854192501089e-14,3.05965655536287e-11,1.09273448405817e-12
"COX4I1",3.5038781310647e-14,4.14158395091848e-11,1.42813239686844e-12
"EIF3E",3.68033990966697e-14,4.35016177322636e-11,1.45005392440879e-12
"CD69",4.85413482149266e-14,5.73758735900433e-11,1.85083463193688e-12
"S100A4",5.34546095496726e-14,6.3183348487713e-11,1.91665733604215e-12
"PSMA7",5.35107378082833e-14,6.32496920893908e-11,1.91665733604215e-12
"CLIC1",5.98422201562118e-14,7.07335042246424e-11,2.08039718307772e-12
"IFITM2",1.2470533873964e-13,1.47401710390254e-10,4.21147743972154e-12
"MYL12B",1.88410601177752e-13,2.22701330592103e-10,6.18614807200286e-12
"S100A10",1.63102161627425e-12,1.92786755043616e-09,5.21045283901666e-11
"PSMB9",1.70866643006989e-12,2.01964372034261e-09,5.28789749743515e-11
"HNRNPA1",1.74473775296083e-12,2.06228002399971e-09,5.28789749743515e-11
"KLF6",2.08011172117527e-12,2.45869205442917e-09,6.14673013607292e-11
"IL6ST",2.29900363319519e-12,2.71742229443671e-09,6.62785925472368e-11
"ATM",4.73923245135765e-12,5.60177275750474e-09,1.33375541845351e-10
"EIF3L",5.45504753234324e-12,6.44786618322971e-09,1.49950376354179e-10
"MT-ND3",8.82333178698008e-12,1.04291781722105e-08,2.37026776641147e-10
"B2M",9.37995586218819e-12,1.10871078291064e-08,2.46380173980143e-10
"ST13",9.71742774132624e-12,1.14859995902476e-08,2.49695643266252e-10
"BCL11B",9.93805801602771e-12,1.17467845749448e-08,2.49931586700952e-10
"PFDN5",1.12477184320841e-11,1.32948031867234e-08,2.7697506639007e-10
"MYL12A",1.68559984655528e-11,1.99237901862835e-08,4.06607962985377e-10
"UQCRB",2.15564905932237e-11,2.54797718811905e-08,5.09595437623809e-10
"MT-CO2",2.68202101355552e-11,3.17014883802262e-08,6.21597811376985e-10
"LINC00861",4.10661601667821e-11,4.85402013171364e-08,9.33465409944931e-10
"EIF2S3",4.34975756070913e-11,5.14141343675819e-08,9.70078006935507e-10
"S100A6",4.48455223577498e-11,5.30074074268603e-08,9.72766055613146e-10
