"","p_value","bonferroni_pval","fdr"
"KMT2C",2.10048261271447e-08,4.12744833398393e-05,1.83442148177063e-07
"ILF3",2.14276369261782e-08,4.21053065599402e-05,1.86306666194426e-07
"PDCD4",2.16141240182015e-08,4.2471753695766e-05,1.87100236545225e-07
"PCF11",2.17318185238741e-08,4.27030233994127e-05,1.87293962278126e-07
"G3BP2",2.27712739027191e-08,4.4745553218843e-05,1.95395428903244e-07
"BLOC1S1",2.34367566350233e-08,4.60532267878208e-05,2.00231420816612e-07
"PRDX1",2.71672697693157e-08,5.33836850967053e-05,2.31098203881841e-07
"CRTAP",2.76039943401787e-08,5.42418488784512e-05,2.33801072751945e-07
"MT-CYB",3.18312342616088e-08,6.25483753240613e-05,2.68447962764212e-07
"BNIP2",3.45860855452134e-08,6.79616580963442e-05,2.90434436309163e-07
"MATR3-ENSG00000015479",3.50429564474034e-08,6.88594094191477e-05,2.93018763485735e-07
"NAMPT",3.98578019425491e-08,7.8320580817109e-05,3.31866867869106e-07
"MED13L",4.48550447159594e-08,8.81401628668602e-05,3.71899421379157e-07
"TMEM170B",4.58693487195231e-08,9.01332702338629e-05,3.78711219470012e-07
"TOMM7",4.70656262786849e-08,9.24839556376158e-05,3.86962157479564e-07
"OGFRL1",4.99926268766413e-08,9.82355118126001e-05,4.093146325525e-07
"RNF145",5.08567471167363e-08,9.99335080843868e-05,4.14661859271315e-07
"BRD2",5.26634936823979e-08,0.000103483765085912,4.27618863991372e-07
"HNRNPA2B1",5.32066866058065e-08,0.00010455113918041,4.30251601565473e-07
"DDIT4",5.59271140197639e-08,0.000109896779048836,4.50396635446049e-07
"CANX",5.84600803261383e-08,0.000114874057840862,4.68873705472905e-07
"SP3",6.33400813735183e-08,0.000124463259898963,5.05948210971396e-07
"FAM91A1",6.40410855996658e-08,0.000125840733203343,5.09476652645114e-07
"GAS7",6.45802271752931e-08,0.000126900146399451,5.11694138707463e-07
"CPPED1",6.76044827283739e-08,0.000132842808561255,5.33505255266083e-07
"SFPQ",6.81374152904924e-08,0.000133890021045817,5.3556008418327e-07
"APEX1",6.85098386095883e-08,0.000134621832867841,5.36341963616896e-07
"NFKBIA",6.97828959322192e-08,0.000137123390506811,5.4414043851909e-07
"SNX6",7.26673661248065e-08,0.000142791374435245,5.6439278432903e-07
"HINT1",7.62573244746561e-08,0.000149845642592699,5.88928912981725e-07
"CYP1B1",7.67027428052601e-08,0.000150720889612336,5.88928912981725e-07
"TPT1",7.67255988413851e-08,0.000150765801723322,5.88928912981725e-07
"ARHGAP4",7.71879348543831e-08,0.000151674291988863,5.90172342369116e-07
"NUDT3",7.93590115847325e-08,0.000155940457763999,6.0442037893023e-07
"TRA2A",8.04026686515918e-08,0.000157991243900378,6.10004802704162e-07
"SLC25A6-ENSG00000169100",8.12181079035926e-08,0.00015959358203056,6.13821469348306e-07
"THUMPD1",8.55390382696665e-08,0.000168084210199895,6.44000805363581e-07
"CD4",9.22171519943664e-08,0.00018120670366893,6.91628639957748e-07
"CMTM3",1.03656773835879e-07,0.000203685560587502,7.74469812119781e-07
"EIF4A2",1.09649112112064e-07,0.000215460505300206,8.14612629140628e-07
"NUCKS1",1.09858700622018e-07,0.000215872346722266,8.14612629140628e-07
"HNRNPD",1.10610192422315e-07,0.000217349028109849,8.17101609435524e-07
"SYNCRIP",1.3076920672867e-07,0.000256961491221836,9.62402588845826e-07
"HNRNPH3",1.37867346761372e-07,0.000270909336386095,1.01085573278394e-06
"RBM26",1.38502016446531e-07,0.000272156462317433,1.0117340606596e-06
"LDHB",1.42106541371903e-07,0.000279239353795789,1.03421982887329e-06
"HMGN2",1.46643296369618e-07,0.0002881540773663,1.06304664718391e-06
"RETN",1.47149459559299e-07,0.000289148688034023,1.06304664718391e-06
"ASH1L",1.53056609464843e-07,0.000300756237598416,1.1016711999942e-06
"CHD2",1.55790532895081e-07,0.000306128397138835,1.11725692386436e-06
"ERP44",1.59811954187642e-07,0.000314030489978716,1.14192905446806e-06
"STT3B",1.65516252017265e-07,0.000325239435213926,1.17840375077509e-06
"UBE2L3",1.69537051142717e-07,0.000333140305495438,1.20267258301602e-06
"TRAPPC6A",1.74426705483034e-07,0.000342748476274163,1.23290818803656e-06
"SLC36A4",1.89931385171615e-07,0.000373215171862224,1.33619538321209e-06
"RNH1",1.90399342137092e-07,0.000374134707299386,1.33619538321209e-06
"NDUFB1",1.91137470918928e-07,0.000375585130355693,1.33660188738681e-06
"RBMX",2.04751053900946e-07,0.000402335820915359,1.4267227692034e-06
"LENG8",2.06427948609943e-07,0.000405630919018539,1.43332480218565e-06
"UBL3",2.08535553128281e-07,0.000409772361897072,1.44286042921504e-06
"GIMAP4",2.11728359643969e-07,0.000416046226700399,1.45981132175578e-06
"PTPRE",2.14791331349584e-07,0.000422064966101932,1.47575162972703e-06
"RAB3D",2.23701127478723e-07,0.00043957271549569,1.5316122491139e-06
"EIF1AX",2.25445318002163e-07,0.000443000049874251,1.53819461761893e-06
"POLR2L",2.28774755792536e-07,0.000449542395132333,1.55551001775894e-06
"SLCO3A1",2.51057605446042e-07,0.000493328194701473,1.70113170586715e-06
"NOP53",2.61601779704053e-07,0.000514047497118463,1.76648624439335e-06
"APBB1IP",2.69101197578859e-07,0.000528783853242457,1.81090360699472e-06
"COMMD6",2.97138175749958e-07,0.000583876515348668,1.99275261211149e-06
"RBM5",3.1471559509156e-07,0.000618416144354915,2.10345627331604e-06
"USP16",3.20762636795671e-07,0.000630298581303494,2.13660536035083e-06
"OGA",3.27834954589206e-07,0.00064419568576779,2.17633677624253e-06
"ATP5MJ",3.40959930716312e-07,0.000669986263857552,2.25584600625438e-06
"SNHG25",3.51707528606944e-07,0.000691105293712645,2.31153384980377e-06
"PMAIP1",3.51729578163525e-07,0.000691148621091327,2.31153384980377e-06
"PABPN1",4.21209719374952e-07,0.00082767709857178,2.7575135031485e-06
"RBBP4",4.22397742721476e-07,0.0008300115644477,2.7575135031485e-06
"NDUFB3",4.31353354905602e-07,0.000847609342389508,2.80653131886299e-06
"NDUFA4",4.32762844588033e-07,0.000850378989615485,2.80653131886299e-06
"CALM3",4.68826332452096e-07,0.000921243743268369,3.0304070502249e-06
"PSMA4",4.8701345412688e-07,0.00095698143735932,3.1376440569158e-06
"RASSF3",5.15239883025304e-07,0.00101244637014472,3.30864826844681e-06
"PPP4R3A",5.24629755490013e-07,0.00103089746953788,3.35797221347842e-06
"CASP1",5.38505841831796e-07,0.00105816397919948,3.43559733506325e-06
"UFM1",5.66827928487004e-07,0.00111381687947696,3.60458537047561e-06
"TTC17",5.69229687327646e-07,0.00111853633559882,3.60818172773814e-06
"SSH2",5.92278840140415e-07,0.00116382792087592,3.74221196423124e-06
