"","p_value","bonferroni_pval","fdr"
"HNRNPUL1",1.45629191983817e-05,0.0286161362248201,7.22629702646972e-05
"PEBP1",1.46791364278371e-05,0.0288445030806999,7.26561790445842e-05
"ADAR",1.52253725816025e-05,0.0299178571228488,7.51704952835398e-05
"PRKCB",1.53604497040606e-05,0.030183283668479,7.56473274899223e-05
"BTG2",1.57800922082768e-05,0.0310078811892639,7.75197029731597e-05
"EIF3A",1.62677143619401e-05,0.0319660587212124,7.97158571601306e-05
"ELOVL5",1.65858919654374e-05,0.0325912777120845,8.10728301295635e-05
"LILRB2",1.69864961233651e-05,0.0333784648824125,8.28249748943238e-05
"NSRP1",1.72450949594856e-05,0.0338866115953892,8.38777514737355e-05
"RNF181",1.79820636629252e-05,0.035334755097648,8.72463088830816e-05
"BTF3",1.81796608915927e-05,0.0357230336519797,8.79877676157137e-05
"STRAP",1.85997270892058e-05,0.0365484637302894,8.97996651849863e-05
"MCTS1",1.88010083205588e-05,0.036943981349898,9.04096056454891e-05
"SIVA1",1.88180807679415e-05,0.036977528709005,9.04096056454891e-05
"CELF1",1.918550261789e-05,0.0376995126441539,9.19500308393997e-05
"STARD7",1.94051041720444e-05,0.0381310296980672,9.26379985502468e-05
"NUFIP2",1.94233360827998e-05,0.0381668554027017,9.26379985502468e-05
"ARPC1B",2.04504392901087e-05,0.0401851132050636,9.73005162350207e-05
"HNRNPC",2.08058837287451e-05,0.0408835615269842,9.87525640748411e-05
"CARD16",2.09819530403593e-05,0.041229537724306,9.93482836730266e-05
"HELZ",2.22640526549193e-05,0.0437488634669164,0.000105165537180087
"BAZ1A",2.23677726893864e-05,0.0439526733346443,0.000105402094327684
"TMEM256",2.26822307905931e-05,0.0445705835035154,0.000106628190199798
"NME3",2.29232813371047e-05,0.0450442478274107,0.000107504171425801
"PLBD1",2.31274656385251e-05,0.0454454699797019,0.000107847139261427
"FAAP20",2.31371136478242e-05,0.0454644283179745,0.000107847139261427
"COX7C",2.31610650220469e-05,0.0455114927683222,0.000107847139261427
"CD302",2.33245830243668e-05,0.0458328056428807,0.000108351786389789
"LRPAP1",2.40599026128531e-05,0.0472777086342563,0.000111122285671928
"EIF3M",2.40894742157706e-05,0.0473358168339892,0.000111122285671928
"EMP3",2.40906329242958e-05,0.0473380936962412,0.000111122285671928
"CNOT7",2.42201733841478e-05,0.0475926406998505,0.000111458174941102
"GNG5",2.51424870173305e-05,0.0494049869890545,0.000115432212591249
