"gene","selected_n","selection_frequency"
"CNOT7",14,0.7
"COTL1",14,0.7
"COX6A1",14,0.7
"CWF19L2",14,0.7
"LTB",14,0.7
"MATR3-ENSG00000015479",14,0.7
"NCL",14,0.7
"PSMB6",14,0.7
"TRAM1",14,0.7
"TRIR",14,0.7
"ACTB",13,0.65
"ACTG1",13,0.65
"CD3G",13,0.65
"CLDND1",13,0.65
"EIF3H",13,0.65
"GPX4",13,0.65
"GZMA",13,0.65
"HNRNPD",13,0.65
"HNRNPU",13,0.65
"LSM5",13,0.65
"MGAT4A",13,0.65
"PNISR",13,0.65
"PPP1R15A",13,0.65
"PRDX1",13,0.65
"PRF1",13,0.65
"PTGES3",13,0.65
"SLC38A1",13,0.65
"TBCB",13,0.65
"TSC22D3",13,0.65
"BRK1",12,0.6
"CAPZB",12,0.6
"CD52",12,0.6
"CLEC2B",12,0.6
"COMMD6",12,0.6
"COX14",12,0.6
"EMC4",12,0.6
"ETS1",12,0.6
"ISG20",12,0.6
"MPC2",12,0.6
"OAZ1",12,0.6
"POLR2F",12,0.6
"RBM3",12,0.6
"RIPOR2",12,0.6
"SNHG32",12,0.6
"SRP19",12,0.6
"TGOLN2",12,0.6
"TNFAIP8",12,0.6
"TUBA1B",12,0.6
"CD96",11,0.55
"COX7B",11,0.55
"CYTIP",11,0.55
"GADD45B",11,0.55
"GNAS",11,0.55
"ITM2A",11,0.55
"JUN",11,0.55
"PARK7",11,0.55
"RASGRP2",11,0.55
"RNF145",11,0.55
"TAF7",11,0.55
"UBE2L3",11,0.55
"ANXA1",10,0.5
"ATP5F1A",10,0.5
"CLK1",10,0.5
"EZR",10,0.5
"HLA-DRA",10,0.5
"PPIB",10,0.5
"PRDX5",10,0.5
"TES",10,0.5
"UQCR10",10,0.5
"ANAPC11",9,0.45
"ANKRD49",9,0.45
"CBX3",9,0.45
"CDC42SE1",9,0.45
"CDC42SE2",9,0.45
"CMPK1",9,0.45
"DNAJA1",9,0.45
"EEF1D",9,0.45
"ESD",9,0.45
"HSP90AB1",9,0.45
"MT2A",9,0.45
"OSTC",9,0.45
"SARAF",9,0.45
"SERP1",9,0.45
"TAPBP",9,0.45
"UQCRB",9,0.45
"YPEL3",9,0.45
"ARHGAP15",8,0.4
"ATP5F1B",8,0.4
"BSG",8,0.4
"BTF3",8,0.4
"BTG2",8,0.4
"CAST",8,0.4
"COPE",8,0.4
"CST3",8,0.4
"CXCR4",8,0.4
"DNAJC19",8,0.4
"EVI2A",8,0.4
"HMGN2",8,0.4
"HSPB1",8,0.4
"LSP1",8,0.4
"LYZ",8,0.4
"MTPN",8,0.4
"PRKCQ-AS1",8,0.4
